Date,gage_id,SWE_cm_mean,dayl_s,prcp_mm_day,srad_W_m2,tmax_C,tmin_C,vp_Pa,tmean_C,site_no,flow_cms
1980-01-01,10128500,8.129999999999999,32891.95,0.0,150.63,0.26,-5.67,400.2,-2.705,10128500,1.1043552
1980-01-02,10128500,8.129999999999999,32934.47,0.0,243.2,-0.95,-11.14,261.14,-6.045,10128500,1.132672
1980-01-03,10128500,8.129999999999999,32980.46,6.45,232.51,0.03,-16.01,175.37,-7.990000000000001,10128500,1.2176224
1980-01-04,10128500,9.139999999999999,33029.9,0.0,205.48,2.88,-5.36,409.94,-1.2400000000000002,10128500,1.2176224
1980-01-05,10128500,9.139999999999999,33082.75,5.85,213.08,5.69,-7.45,349.11,-0.8799999999999999,10128500,1.2176224
1980-01-06,10128500,9.139999999999999,33138.96,0.0,264.14,-1.38,-12.34,237.09,-6.859999999999999,10128500,1.1893056
1980-01-07,10128500,9.139999999999999,33198.5,8.85,168.98,-6.26,-15.14,188.57,-10.7,10128500,1.1893056
1980-01-08,10128500,9.4,33261.33,14.29,150.55,-3.95,-11.6,251.65,-7.775,10128500,1.1893056
1980-01-09,10128500,10.41,33327.4,20.38,137.56,-1.35,-8.15,330.72,-4.75,10128500,1.1609888
1980-01-10,10128500,12.7,33396.67,23.27,238.38,-3.1,-16.86,163.22,-9.98,10128500,1.1609888
1980-01-11,10128500,14.48,33469.09,17.02,269.56,-2.78,-20.9,115.51,-11.84,10128500,1.0477216
1980-01-12,10128500,14.99,33544.61,21.68,184.65,1.92,-7.06,359.93,-2.57,10128500,1.4724736
1980-01-13,10128500,17.27,33623.18,25.73,85.05,2.23,-1.6,543.12,0.3149999999999999,10128500,1.8122752
1980-01-14,10128500,18.54,33704.75,30.01,78.23,-0.36,-3.79,461.54,-2.075,10128500,2.265344
1980-01-15,10128500,18.8,33789.27,14.36,232.55,2.54,-9.36,300.61,-3.41,10128500,2.2087104
1980-01-16,10128500,19.3,33876.68,7.47,252.99,1.89,-11.57,252.26,-4.84,10128500,1.7273248
1980-01-17,10128500,19.81,33966.93,9.42,187.81,-0.02,-8.56,320.1,-4.29,10128500,1.6140576
1980-01-18,10128500,20.32,34059.96,0.0,256.37,-1.85,-10.36,277.92,-6.105,10128500,1.5007904
1980-01-19,10128500,20.32,34155.72,0.0,332.28,-4.59,-16.5,168.31,-10.545,10128500,1.3308896
1980-01-20,10128500,20.32,34254.15,7.92,291.93,-0.57,-17.45,155.41,-9.01,10128500,1.1609888
1980-01-21,10128500,20.57,34355.19,0.0,377.28,0.58,-14.0,207.13,-6.71,10128500,1.132672
1980-01-22,10128500,20.830000000000002,34458.78,0.0,420.16,-0.24,-19.67,128.46,-9.955,10128500,1.132672
1980-01-23,10128500,21.34,34564.88,0.0,411.98,0.93,-16.74,164.92,-7.904999999999999,10128500,1.132672
1980-01-24,10128500,22.1,34673.41,0.0,403.02,2.15,-14.15,204.48,-6.0,10128500,1.132672
1980-01-25,10128500,22.35,34784.31,0.0,243.73,-4.77,-12.21,239.5,-8.49,10128500,1.132672
1980-01-26,10128500,22.35,34897.54,0.0,342.74,-6.22,-17.48,154.96,-11.85,10128500,1.132672
1980-01-27,10128500,22.35,35013.04,16.4,264.22,-4.88,-16.68,165.82,-10.78,10128500,1.1043552
