Date,gage_id,SWE_cm_mean,dayl_s,prcp_mm_day,srad_W_m2,tmax_C,tmin_C,vp_Pa,tmean_C,Average_Elevation_m,Minimum_Elevation_m,Maximum_Elevation_m,Average_Slope,Area_km2,Open_Water,Developed_Open_Space,Developed_Low_Intensity,Developed_Medium_Intensity,Barren_Land,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Shrub_Scrub,Grassland_Herbaceous,Unknown,Woody_Wetlands,Emergent_Herbaceous_Wetlands,Developed_High_Intensity,Perennial_Ice_Snow,site_no,flow_cms
1980-01-01,10154200,13.209999999999999,32957.38,0.0,175.94,1.3,-7.4,350.59,-3.0500000000000003,2760.729248046875,2090.918212890625,3630.11083984375,0.2331186532974243,734.2769267063746,0.5784560396924308,1.946998377501352,0.2163331530557058,0.0470289463164577,1.6836362781291885,21.62390951630729,56.82037293954429,3.560091236155854,11.750182237166976,0.6207820913772427,0.1787099960025395,0.9006043219601665,0.0728948667905095,0.0,0.0,10154200,1.3025728
1980-01-02,10154200,13.209999999999999,32999.6,0.0,224.11,0.88,-11.73,248.97,-5.425,2760.729248046875,2090.918212890625,3630.11083984375,0.2331186532974243,734.2769267063746,0.5784560396924308,1.946998377501352,0.2163331530557058,0.0470289463164577,1.6836362781291885,21.62390951630729,56.82037293954429,3.560091236155854,11.750182237166976,0.6207820913772427,0.1787099960025395,0.9006043219601665,0.0728948667905095,0.0,0.0,10154200,1.3025728
1980-01-03,10154200,13.209999999999999,33045.28,0.0,248.86,1.18,-14.67,195.96,-6.745,2760.729248046875,2090.918212890625,3630.11083984375,0.2331186532974243,734.2769267063746,0.5784560396924308,1.946998377501352,0.2163331530557058,0.0470289463164577,1.6836362781291885,21.62390951630729,56.82037293954429,3.560091236155854,11.750182237166976,0.6207820913772427,0.1787099960025395,0.9006043219601665,0.0728948667905095,0.0,0.0,10154200,1.274256
1980-01-04,10154200,13.719999999999999,33094.38,0.0,228.81,4.46,-8.6,319.2,-2.07,2760.729248046875,2090.918212890625,3630.11083984375,0.2331186532974243,734.2769267063746,0.5784560396924308,1.946998377501352,0.2163331530557058,0.0470289463164577,1.6836362781291885,21.62390951630729,56.82037293954429,3.560091236155854,11.750182237166976,0.6207820913772427,0.1787099960025395,0.9006043219601665,0.0728948667905095,0.0,0.0,10154200,1.274256
1980-01-05,10154200,14.48,33146.85,0.56,250.84,7.37,-8.84,313.32,-0.7349999999999999,2760.729248046875,2090.918212890625,3630.11083984375,0.2331186532974243,734.2769267063746,0.5784560396924308,1.946998377501352,0.2163331530557058,0.0470289463164577,1.6836362781291885,21.62390951630729,56.82037293954429,3.560091236155854,11.750182237166976,0.6207820913772427,0.1787099960025395,0.9006043219601665,0.0728948667905095,0.0,0.0,10154200,1.274256
1980-01-06,10154200,16.0,33202.68,0.0,215.86,1.29,-10.14,282.66,-4.425000000000001,2760.729248046875,2090.918212890625,3630.11083984375,0.2331186532974243,734.2769267063746,0.5784560396924308,1.946998377501352,0.2163331530557058,0.0470289463164577,1.6836362781291885,21.62390951630729,56.82037293954429,3.560091236155854,11.750182237166976,0.6207820913772427,0.1787099960025395,0.9006043219601665,0.0728948667905095,0.0,0.0,10154200,1.274256
1980-01-07,10154200,16.0,33261.81,0.0,199.27,-1.97,-11.88,246.03,-6.925000000000001,2760.729248046875,2090.918212890625,3630.11083984375,0.2331186532974243,734.2769267063746,0.5784560396924308,1.946998377501352,0.2163331530557058,0.0470289463164577,1.6836362781291885,21.62390951630729,56.82037293954429,3.560091236155854,11.750182237166976,0.6207820913772427,0.1787099960025395,0.9006043219601665,0.0728948667905095,0.0,0.0,10154200,1.274256
1980-01-08,10154200,17.78,33324.2,12.16,136.89,-1.78,-10.1,283.65,-5.94,2760.729248046875,2090.918212890625,3630.11083984375,0.2331186532974243,734.2769267063746,0.5784560396924308,1.946998377501352,0.2163331530557058,0.0470289463164577,1.6836362781291885,21.62390951630729,56.82037293954429,3.560091236155854,11.750182237166976,0.6207820913772427,0.1787099960025395,0.9006043219601665,0.0728948667905095,0.0,0.0,10154200,1.274256
1980-01-09,10154200,19.3,33389.82,16.25,144.81,0.24,-8.56,320.19,-4.16,2760.729248046875,2090.918212890625,3630.11083984375,0.2331186532974243,734.2769267063746,0.5784560396924308,1.946998377501352,0.2163331530557058,0.0470289463164577,1.6836362781291885,21.62390951630729,56.82037293954429,3.560091236155854,11.750182237166976,0.6207820913772427,0.1787099960025395,0.9006043219601665,0.0728948667905095,0.0,0.0,10154200,1.3025728
1980-01-10,10154200,22.61,33458.61,21.3,175.77,-0.52,-11.76,248.51,-6.14,2760.729248046875,2090.918212890625,3630.11083984375,0.2331186532974243,734.2769267063746,0.5784560396924308,1.946998377501352,0.2163331530557058,0.0470289463164577,1.6836362781291885,21.62390951630729,56.82037293954429,3.560091236155854,11.750182237166976,0.6207820913772427,0.1787099960025395,0.9006043219601665,0.0728948667905095,0.0,0.0,10154200,1.2459392
