Date,gage_id,dayl_s,prcp_mm_day,srad_W_m2,tmax_C,tmin_C,vp_Pa,tmean_C,site_no,flow_cms
1996-08-06,09292000,50173.97,0.0,702.84,16.83,0.69,462.19,8.76,9292000.0,2.2370272
1996-08-07,09292000,50038.52,0.0,772.0,18.86,-0.98,360.28,8.94,9292000.0,2.0671264
1996-08-08,09292000,49901.45,0.0,767.64,21.37,1.21,398.29,11.29,9292000.0,1.8972256
1996-08-09,09292000,49762.83,0.0,701.32,20.1,3.29,503.69,11.695,9292000.0,1.8122752
1996-08-10,09292000,49622.71,0.0,730.87,21.44,3.06,474.67,12.25,9292000.0,1.8122752
1996-08-11,09292000,49481.14,0.0,738.44,23.18,3.95,493.54,13.565,9292000.0,1.7556416
1996-08-12,09292000,49338.17,0.0,708.63,22.84,4.93,549.35,13.885,9292000.0,1.6706912
1996-08-13,09292000,49193.85,0.0,684.06,23.38,6.44,625.01,14.91,9292000.0,1.6423744
1996-08-14,09292000,49048.23,0.0,656.34,20.83,5.03,599.52,12.93,9292000.0,1.8122752
1996-08-15,09292000,48901.36,0.0,644.52,19.17,3.83,568.18,11.5,9292000.0,2.2370272
1996-08-16,09292000,48753.29,0.0,708.52,20.93,2.65,481.95,11.79,9292000.0,2.2370272
1996-08-17,09292000,48604.05,0.0,609.7,18.21,3.87,589.94,11.04,9292000.0,2.2087104
1996-08-18,09292000,48453.7,2.5,419.11,15.95,3.06,692.47,9.505,9292000.0,2.3502944
1996-08-19,09292000,48302.28,0.0,680.71,19.09,1.93,482.17,10.51,9292000.0,2.265344
1996-08-20,09292000,48149.84,0.0,609.29,19.17,4.69,630.18,11.93,9292000.0,2.0954432
1996-08-21,09292000,47996.41,0.0,657.5,19.68,3.34,529.51,11.51,9292000.0,2.0388096
1996-08-22,09292000,47842.04,0.0,674.34,19.6,2.44,458.41,11.02,9292000.0,2.0954432
1996-08-23,09292000,47686.78,0.0,689.85,20.72,2.55,435.4,11.635,9292000.0,2.265344
1996-08-24,09292000,47530.65,0.0,664.61,20.51,3.35,444.41,11.93,9292000.0,2.1520768
1996-08-25,09292000,47373.71,0.0,551.47,17.44,4.47,566.83,10.955,9292000.0,2.2370272
1996-08-26,09292000,47215.98,3.59,410.87,17.49,4.37,641.36,10.93,9292000.0,2.6617792
1996-08-27,09292000,47057.51,0.0,591.85,17.82,3.26,445.22,10.54,9292000.0,2.8599968
1996-08-28,09292000,46898.33,0.0,657.87,20.16,2.62,355.08,11.39,9292000.0,2.8599968
1996-08-29,09292000,46738.48,0.0,626.29,19.52,3.25,381.56,11.385,9292000.0,2.5768288
1996-08-30,09292000,46577.99,0.0,662.08,19.7,1.6,320.15,10.65,9292000.0,2.4635616
1996-08-31,09292000,46416.91,0.0,617.89,21.05,4.66,421.53,12.855,9292000.0,2.3786112
1996-09-01,09292000,46255.26,0.0,636.81,21.12,3.64,381.25,12.38,9292000.0,2.2936608
1996-09-02,09292000,46093.07,0.0,610.0,20.22,3.74,408.36,11.98,9292000.0,2.2087104
1996-09-03,09292000,45930.38,0.0,617.71,20.85,3.63,398.46,12.24,9292000.0,2.1520768
1996-09-04,09292000,45767.23,0.0,557.07,19.81,4.99,492.74,12.4,9292000.0,2.0671264
1996-09-05,09292000,45603.64,0.0,529.0,16.11,2.38,450.89,9.245,9292000.0,2.0388096
1996-09-06,09292000,45439.64,0.0,506.62,11.7,-1.09,386.86,5.305,9292000.0,2.0104928
1996-09-07,09292000,45275.26,0.0,614.72,15.27,-1.92,296.56,6.675,9292000.0,1.8972256
1996-09-08,09292000,45110.54,0.0,619.1,18.57,0.8,342.25,9.685,9292000.0,1.7556416
1996-09-09,09292000,44945.5,0.0,606.79,18.28,0.97,356.01,9.625,9292000.0,1.6423744
1996-09-10,09292000,44780.17,0.0,547.71,17.15,2.39,439.71,9.77,9292000.0,1.557424
1996-09-11,09292000,44614.58,13.26,123.35,7.11,3.46,782.57,5.285,9292000.0,1.840592
1996-09-12,09292000,44448.77,6.33,401.46,14.54,0.13,521.33,7.335,9292000.0,2.3502944
1996-09-13,09292000,44282.75,13.87,268.75,9.1,0.47,632.0,4.785,9292000.0,2.7184128
1996-09-14,09292000,44116.55,6.81,272.2,6.79,-1.85,533.16,2.47,9292000.0,2.9166304
1996-09-15,09292000,43950.2,5.61,421.07,12.31,-3.19,456.04,4.5600000000000005,9292000.0,2.6617792
1996-09-16,09292000,43783.74,13.39,299.94,3.12,-6.3,381.55,-1.59,9292000.0,2.6051456
1996-09-17,09292000,43617.18,5.44,414.4,4.8,-9.8,290.37,-2.5000000000000004,9292000.0,2.7184128
