Date,gage_id,dayl_s,prcp_mm_day,srad_W_m2,tmax_C,tmin_C,vp_Pa,tmean_C,site_no,flow_cms
1980-01-01,09217900,32848.1,0.0,181.58,-2.06,-10.51,274.54,-6.285,9217900.0,0.566336
1980-01-02,09217900,32890.82,0.0,214.82,-3.85,-14.34,201.35,-9.095,9217900.0,0.566336
1980-01-03,09217900,32937.03,0.0,305.48,-0.02,-23.07,95.37,-11.545,9217900.0,0.566336
1980-01-04,09217900,32986.7,0.0,171.21,1.89,-5.92,392.81,-2.015,9217900.0,0.566336
1980-01-05,09217900,33039.79,0.0,278.75,5.97,-10.73,269.79,-2.3800000000000003,9217900.0,0.566336
1980-01-06,09217900,33096.27,8.41,194.28,-4.38,-17.2,158.61,-10.79,9217900.0,0.5097024
1980-01-07,09217900,33156.09,10.41,182.4,-9.98,-21.3,111.55,-15.64,9217900.0,0.5097024
1980-01-08,09217900,33219.21,7.11,115.49,-6.68,-13.01,224.48,-9.845,9217900.0,0.5097024
1980-01-09,09217900,33285.58,13.26,111.73,-2.95,-9.0,309.4,-5.975,9217900.0,0.5380192
1980-01-10,09217900,33355.17,18.91,255.7,-4.81,-26.46,70.15,-15.635,9217900.0,0.5380192
1980-01-11,09217900,33427.93,13.67,263.1,-3.12,-26.28,71.35,-14.7,9217900.0,0.5380192
1980-01-12,09217900,33503.79,18.55,192.42,1.99,-9.18,305.04,-3.595,9217900.0,0.5380192
1980-01-13,09217900,33582.72,23.5,65.02,0.58,-2.49,508.59,-0.955,9217900.0,0.566336
1980-01-14,09217900,33664.67,15.97,72.22,-1.94,-5.38,409.32,-3.66,9217900.0,0.5946528
1980-01-15,09217900,33749.57,0.0,321.19,3.48,-13.84,209.85,-5.18,9217900.0,0.5946528
1980-01-16,09217900,33837.38,3.05,273.64,0.53,-21.87,106.1,-10.67,9217900.0,0.6229696
1980-01-17,09217900,33928.04,7.01,233.14,-2.74,-16.83,163.65,-9.785,9217900.0,0.6229696
1980-01-18,09217900,34021.49,0.0,311.13,-3.7,-18.5,142.07,-11.1,9217900.0,0.5946528
1980-01-19,09217900,34117.69,0.0,319.32,-11.66,-26.88,67.52,-19.27,9217900.0,0.5946528
1980-01-20,09217900,34216.56,8.81,281.32,-0.02,-21.13,113.15,-10.575,9217900.0,0.5946528
1980-01-21,09217900,34318.06,0.0,313.49,-0.51,-14.71,195.3,-7.61,9217900.0,0.566336
1980-01-22,09217900,34422.12,0.0,376.31,-3.56,-26.76,68.24,-15.16,9217900.0,0.566336
1980-01-23,09217900,34528.69,0.0,375.77,1.77,-20.68,117.7,-9.455,9217900.0,0.5380192
1980-01-24,09217900,34637.7,10.25,279.16,3.26,-14.96,191.33,-5.8500000000000005,9217900.0,0.5380192
1980-01-25,09217900,34749.11,0.0,289.56,-7.75,-19.2,133.78,-13.475,9217900.0,0.5097024
1980-01-26,09217900,34862.84,0.0,296.87,-11.79,-23.46,92.08,-17.625,9217900.0,0.5097024
1980-01-27,09217900,34978.85,17.81,277.9,-4.61,-20.71,117.37,-12.66,9217900.0,0.4813855999999999
1980-01-28,09217900,35097.06,18.96,211.49,-5.96,-15.92,176.68,-10.94,9217900.0,0.4813855999999999
1980-01-29,09217900,35217.43,18.92,230.57,-5.72,-16.74,164.97,-11.23,9217900.0,0.5097024
1980-01-30,09217900,35339.89,25.15,317.28,-2.71,-23.43,92.32,-13.07,9217900.0,0.5380192
1980-01-31,09217900,35464.39,7.15,312.34,-3.37,-22.75,98.08,-13.06,9217900.0,0.566336
1980-02-01,09217900,35590.86,0.0,411.76,3.24,-17.61,153.31,-7.185,9217900.0,0.5946528
1980-02-02,09217900,35719.26,0.0,366.4,4.73,-10.36,277.87,-2.8149999999999995,9217900.0,0.6229696
1980-02-03,09217900,35849.52,0.0,343.91,7.11,-6.4,378.62,0.355,9217900.0,0.6229696
1980-02-04,09217900,35981.59,0.0,370.06,3.02,-11.86,246.41,-4.42,9217900.0,0.5946528
1980-02-05,09217900,36115.4,0.0,430.43,5.34,-16.11,173.89,-5.385,9217900.0,0.5946528
1980-02-06,09217900,36250.92,0.0,356.76,3.13,-10.62,272.06,-3.745,9217900.0,0.566336
1980-02-07,09217900,36388.07,0.0,181.68,-8.01,-13.68,212.53,-10.845,9217900.0,0.566336
1980-02-08,09217900,36526.81,0.0,425.83,-10.56,-29.52,52.76,-20.04,9217900.0,0.5380192
1980-02-09,09217900,36667.09,0.0,442.92,-1.35,-22.1,103.95,-11.725,9217900.0,0.5380192
1980-02-10,09217900,36808.85,0.0,449.49,1.29,-19.83,126.73,-9.27,9217900.0,0.5097024
1980-02-11,09217900,36952.04,0.0,431.5,2.29,-16.38,170.0,-7.045,9217900.0,0.5380192
1980-02-12,09217900,37096.62,0.0,441.15,3.37,-16.49,168.43,-6.559999999999999,9217900.0,0.566336
1980-02-13,09217900,37242.52,0.0,397.8,4.68,-11.32,257.44,-3.3200000000000003,9217900.0,0.5946528
1980-02-14,09217900,37389.71,13.41,238.48,4.48,-6.49,376.04,-1.005,9217900.0,0.5946528
1980-02-15,09217900,37538.13,17.49,215.21,2.86,-6.46,376.83,-1.8,9217900.0,0.5946528
1980-02-16,09217900,37687.73,14.23,267.7,3.54,-8.56,320.11,-2.51,9217900.0,0.5946528
1980-02-17,09217900,37838.48,11.73,349.56,5.21,-13.63,213.53,-4.210000000000001,9217900.0,0.566336
1980-02-18,09217900,37990.33,23.96,107.88,-1.85,-5.88,394.01,-3.865,9217900.0,0.566336
1980-02-19,09217900,38143.22,6.73,229.2,0.02,-9.17,305.29,-4.575,9217900.0,0.566336
1980-02-20,09217900,38297.13,5.33,113.4,-3.71,-7.7,342.43,-5.705,9217900.0,0.566336
1980-02-21,09217900,38452.0,10.91,380.61,-1.49,-21.0,114.5,-11.245,9217900.0,0.566336
1980-02-22,09217900,38607.79,4.6,200.78,-4.05,-11.2,259.81,-7.625,9217900.0,0.5946528
1980-02-23,09217900,38764.47,0.0,272.93,-7.26,-14.37,200.82,-10.815,9217900.0,0.6229696
1980-02-24,09217900,38921.99,0.0,521.79,-2.23,-22.42,101.03,-12.325,9217900.0,0.6512864
1980-02-25,09217900,39080.31,0.0,556.67,6.68,-21.11,113.43,-7.215,9217900.0,0.6512864
1980-02-26,09217900,39239.4,0.0,530.26,7.34,-14.03,206.64,-3.345,9217900.0,0.6229696
1980-02-27,09217900,39399.21,0.0,513.83,12.82,-6.95,362.74,2.935,9217900.0,0.5946528
1980-02-28,09217900,39559.72,0.0,516.96,7.88,-11.64,250.94,-1.8800000000000003,9217900.0,0.566336
1980-02-29,09217900,39720.89,0.0,181.07,-6.12,-10.63,271.97,-8.375,9217900.0,0.5946528
1980-03-01,09217900,39882.67,0.3,556.02,-1.71,-23.42,92.46,-12.565,9217900.0,0.5946528
1980-03-02,09217900,40045.04,4.62,415.57,1.07,-18.67,139.99,-8.8,9217900.0,0.5946528
1980-03-03,09217900,40207.96,7.68,188.8,-0.35,-6.64,371.68,-3.495,9217900.0,0.566336
1980-03-04,09217900,40371.4,6.81,146.29,-4.64,-9.2,304.53,-6.92,9217900.0,0.5380192
1980-03-05,09217900,40535.33,9.39,442.83,2.85,-18.99,136.26,-8.069999999999999,9217900.0,0.5380192
1980-03-06,09217900,40699.71,8.37,319.41,-4.14,-15.16,188.14,-9.65,9217900.0,0.5380192
1980-03-07,09217900,40864.52,0.0,533.02,-3.95,-20.06,124.22,-12.005,9217900.0,0.5097024
1980-03-08,09217900,41029.72,0.0,509.88,-4.8,-19.61,129.22,-12.205,9217900.0,0.5097024
1980-03-09,09217900,41195.28,0.0,571.36,-4.85,-23.38,92.73,-14.114999999999998,9217900.0,0.5097024
1980-03-10,09217900,41361.17,0.0,600.85,-0.34,-21.56,108.98,-10.95,9217900.0,0.4813855999999999
