M-D,M,D,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-01,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-01
10-02,10,2,0.03300001782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00206250111375,0.0,0.0,0.0,0.03300001782,2023-10-02
10-03,10,3,0.035600019223999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022250012014999997,0.0,0.0,0.0,0.035600019223999996,2023-10-03
10-04,10,4,0.03050001647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001906251029375,0.0,0.0,0.0,0.03050001647,2023-10-04
10-05,10,5,0.03050001647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001906251029375,0.0,0.0,0.0,0.03050001647,2023-10-05
10-06,10,6,0.03050001647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001906251029375,0.0,0.0,0.0,0.03050001647,2023-10-06
10-07,10,7,0.027900015065999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017437509416249998,0.0,0.0,0.0,0.027900015065999997,2023-10-07
10-08,10,8,0.022900012366000002,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019062510293750001,0.0,0.0,0.0038000020519999996,0.022900012366000002,2023-10-08
10-09,10,9,0.015200008207999998,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019000010259999998,0.0,0.0,0.007600004103999999,0.015200008207999998,2023-10-09
10-10,10,10,0.012700006858,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014312507728750001,0.0,0.0,0.005100002754000001,0.012700006858,2023-10-10
10-11,10,11,0.012700006858,0.00250000135,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00158750085725,0.0,0.0,0.006350003429,0.012700006858,2023-10-11
10-12,10,12,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006375003442500001,0.0,0.0,0.0,0.010200005508000001,2023-10-12
10-13,10,13,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000793750428625,0.0,0.0,0.0,0.012700006858,2023-10-13
10-14,10,14,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011125006007499999,0.0,0.0,0.0,0.017800009611999998,2023-10-14
10-15,10,15,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009500005129999999,0.0,0.0,0.0,0.015200008207999998,2023-10-15
10-16,10,16,0.020300010961999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012687506851249998,0.0,0.0,0.0,0.020300010961999997,2023-10-16
10-17,10,17,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.001750000945,0.0,0.0,0.005100002754000001,0.017800009611999998,2023-10-17
10-18,10,18,0.020300010961999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012687506851249998,0.0,0.0,0.0,0.020300010961999997,2023-10-18
10-19,10,19,0.020300010961999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012687506851249998,0.0,0.0,0.0,0.020300010961999997,2023-10-19
10-20,10,20,0.022900012366000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030187516301250004,0.0,0.0,0.012700006858,0.022900012366000002,2023-10-20
10-21,10,21,0.027900015065999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003018751630125,0.0,0.0,0.010200005508000001,0.027900015065999997,2023-10-21
