M-D,M,D,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
12-18,12,18,0.0,0.12950006993,0.078700042498,0.09140004935599999,0.08130004390199999,0.147300079542,0.09400005076,0.11940006447600002,0.195600105624,0.088900048006,0.09140004935599999,0.1600000864,0.104100056214,0.086400046656,0.101600054864,0.0,0.0797400430596,0.087650047331,0.10464005650559999,0.09400005076,0.124450067203,0.1549200836568,0.195600105624,2023-12-18
12-19,12,19,0.0,0.13970007543799998,0.078700042498,0.09400005076,0.08130004390199999,0.147300079542,0.09400005076,0.11940006447600002,0.195600105624,0.088900048006,0.09140004935599999,0.1600000864,0.104100056214,0.086400046656,0.101600054864,0.0,0.0797400430596,0.087650047331,0.10549339029973333,0.09400005076,0.129550069957,0.1549200836568,0.195600105624,2023-12-19
12-20,12,20,0.0,0.13970007543799998,0.08380004525200001,0.09650005211,0.08380004525200001,0.147300079542,0.09400005076,0.12450006723,0.195600105624,0.088900048006,0.09140004935599999,0.16260008780399998,0.104100056214,0.086400046656,0.11940006447600002,0.0,0.08380004525200001,0.087650047331,0.10786672491466666,0.09650005211,0.13210007133399998,0.15648008449919998,0.195600105624,2023-12-20
12-21,12,21,0.0,0.13970007543799998,0.088900048006,0.09910005351399999,0.08380004525200001,0.147300079542,0.104100056214,0.12450006723,0.195600105624,0.088900048006,0.09140004935599999,0.16260008780399998,0.104100056214,0.086400046656,0.13460007268399998,0.0,0.08484004581360001,0.088900048006,0.11006672610266664,0.104100056214,0.137150074061,0.15648008449919998,0.195600105624,2023-12-21
12-22,12,22,0.0,0.13970007543799998,0.09650005211,0.116800063072,0.101600054864,0.147300079542,0.104100056214,0.12700006858000001,0.195600105624,0.088900048006,0.09140004935599999,0.18290009876600002,0.104100056214,0.086400046656,0.13460007268399998,0.0,0.087400047196,0.093950050733,0.11446006180840002,0.104100056214,0.137150074061,0.1686600910764,0.195600105624,2023-12-22
12-23,12,23,0.0,0.13970007543799998,0.101600054864,0.13460007268399998,0.116800063072,0.147300079542,0.104100056214,0.13210007133399998,0.195600105624,0.09910005351399999,0.09140004935599999,0.18290009876600002,0.104100056214,0.086400046656,0.13460007268399998,0.0,0.08840004773599999,0.100350054189,0.1180200637308,0.116800063072,0.137150074061,0.1686600910764,0.195600105624,2023-12-23
12-24,12,24,0.0,0.13970007543799998,0.101600054864,0.137200074088,0.11940006447600002,0.147300079542,0.11940006447600002,0.13210007133399998,0.195600105624,0.104100056214,0.111800060372,0.18800010152,0.106700057618,0.088900048006,0.13460007268399998,0.0,0.0939800507492,0.10540005691599999,0.12176006575039998,0.11940006447600002,0.13845007476299998,0.17172009272879998,0.195600105624,2023-12-24
12-25,12,25,0.0,0.14220007678799998,0.101600054864,0.137200074088,0.11940006447600002,0.16760009050400002,0.12700006858000001,0.137200074088,0.195600105624,0.104100056214,0.12450006723,0.18800010152,0.106700057618,0.09140004935599999,0.13460007268399998,0.0,0.0954800515592,0.10540005691599999,0.12514006757559998,0.12700006858000001,0.139700075438,0.1798400971136,0.195600105624,2023-12-25
12-26,12,26,0.0,0.14480007819200003,0.101600054864,0.13970007543799998,0.11940006447600002,0.17270009325799998,0.137200074088,0.14220007678799998,0.20070010837799998,0.104100056214,0.13210007133399998,0.18800010152,0.106700057618,0.09910005351399999,0.14220007678799998,0.0,0.10010005405399999,0.10540005691599999,0.128700069498,0.137200074088,0.14350007749,0.1818800982152,0.20070010837799998,2023-12-26
12-27,12,27,0.0,0.147300079542,0.101600054864,0.14220007678799998,0.11940006447600002,0.17270009325799998,0.137200074088,0.14220007678799998,0.20070010837799998,0.109200058968,0.149900080946,0.18800010152,0.106700057618,0.104100056214,0.154900083646,0.0,0.102600055404,0.107950058293,0.13174007113959998,0.14220007678799998,0.152400082296,0.1818800982152,0.20070010837799998,2023-12-27
12-28,12,28,0.0,0.147300079542,0.101600054864,0.14220007678799998,0.11940006447600002,0.17270009325799998,0.137200074088,0.14220007678799998,0.20070010837799998,0.111800060372,0.16260008780399998,0.195600105624,0.106700057618,0.116800063072,0.16260008780399998,0.0,0.1036400559656,0.114300061722,0.13462673936506667,0.14220007678799998,0.16260008780399998,0.18644010067759997,0.20070010837799998,2023-12-28
12-29,12,29,0.0,0.149900080946,0.101600054864,0.147300079542,0.12190006582599998,0.175300094662,0.137200074088,0.14220007678799998,0.20070010837799998,0.114300061722,0.165100089154,0.203200109728,0.106700057618,0.12190006582599998,0.16260008780399998,0.0,0.1036400559656,0.11810006377399998,0.1366600737964,0.14220007678799998,0.163850088479,0.19054010289159998,0.203200109728,2023-12-29
12-30,12,30,0.0,0.149900080946,0.101600054864,0.149900080946,0.12190006582599998,0.175300094662,0.137200074088,0.14220007678799998,0.20070010837799998,0.114300061722,0.165100089154,0.203200109728,0.106700057618,0.13460007268399998,0.16260008780399998,0.0,0.1036400559656,0.11810006377399998,0.1376800743472,0.14220007678799998,0.163850088479,0.19054010289159998,0.203200109728,2023-12-30
12-31,12,31,0.0,0.149900080946,0.101600054864,0.152400082296,0.12190006582599998,0.175300094662,0.137200074088,0.147300079542,0.20070010837799998,0.114300061722,0.177800096012,0.20570011107800001,0.106700057618,0.14480007819200003,0.16260008780399998,0.0,0.1036400559656,0.11810006377399998,0.13988007553520002,0.147300079542,0.16895009123299998,0.1915401034316,0.20570011107800001,2023-12-31
01-01,1,1,0.0,0.149900080946,0.104100056214,0.152400082296,0.12190006582599998,0.175300094662,0.137200074088,0.147300079542,0.20070010837799998,0.116800063072,0.18290009876600002,0.22350012068999997,0.106700057618,0.14480007819200003,0.16260008780399998,0.0,0.1051400567756,0.11935006444899998,0.1417400765396,0.147300079542,0.16895009123299998,0.1935801045332,0.22350012068999997,2023-01-01
01-02,1,2,0.0,0.149900080946,0.106700057618,0.152400082296,0.12190006582599998,0.18030009736199998,0.137200074088,0.147300079542,0.22350012068999997,0.116800063072,0.18290009876600002,0.236200127548,0.106700057618,0.149900080946,0.165100089154,0.0,0.106700057618,0.11935006444899998,0.14512007836479998,0.149900080946,0.172700093258,0.20726011192039998,0.236200127548,2023-01-02
01-03,1,3,0.0,0.149900080946,0.106700057618,0.152400082296,0.12190006582599998,0.18800010152,0.137200074088,0.147300079542,0.226100122094,0.116800063072,0.18290009876600002,0.24380013165199996,0.106700057618,0.15750008505,0.165100089154,0.0,0.106700057618,0.11935006444899998,0.1468200792828,0.149900080946,0.17400009396000002,0.21086011386439998,0.24380013165199996,2023-01-03
01-04,1,4,0.0,0.149900080946,0.106700057618,0.152400082296,0.12190006582599998,0.19050010287,0.137200074088,0.147300079542,0.226100122094,0.116800063072,0.18290009876600002,0.24380013165199996,0.109200058968,0.1600000864,0.16760009050400002,0.0,0.107700058158,0.11935006444899998,0.1474867463094667,0.149900080946,0.17525009463500002,0.21186011440439997,0.24380013165199996,2023-01-04
01-05,1,5,0.0,0.149900080946,0.11940006447600002,0.152400082296,0.12190006582599998,0.226100122094,0.137200074088,0.149900080946,0.226100122094,0.12450006723,0.18800010152,0.24380013165199996,0.111800060372,0.165100089154,0.17270009325799998,0.0,0.11484006201360002,0.12320006652799999,0.15258674906346667,0.149900080946,0.18035009738899999,0.226100122094,0.24380013165199996,2023-01-05
01-06,1,6,0.0,0.152400082296,0.11940006447600002,0.152400082296,0.12190006582599998,0.226100122094,0.137200074088,0.149900080946,0.231100124794,0.12450006723,0.218400117936,0.246400133056,0.11940006447600002,0.165100089154,0.177800096012,0.0,0.11940006447600002,0.12320006652799999,0.15613341764533337,0.152400082296,0.198100106974,0.229100123714,0.246400133056,2023-01-06
01-07,1,7,0.0,0.152400082296,0.11940006447600002,0.152400082296,0.12190006582599998,0.226100122094,0.14220007678799998,0.15750008505,0.23370012619799999,0.12450006723,0.22100011934000002,0.25650013851000003,0.11940006447600002,0.165100089154,0.177800096012,0.0,0.11940006447600002,0.12320006652799999,0.15799341864973335,0.152400082296,0.19940010767600003,0.23066012455639998,0.25650013851000003,2023-01-07
01-08,1,8,0.0,0.152400082296,0.12700006858000001,0.152400082296,0.12700006858000001,0.228600123444,0.14220007678799998,0.165100089154,0.23370012619799999,0.12450006723,0.22350012068999997,0.25650013851000003,0.11940006447600002,0.165100089154,0.18030009736199998,0.0,0.12144006557760001,0.12700006858000001,0.1598467529838667,0.152400082296,0.20190010902599997,0.2316601250964,0.25650013851000003,2023-01-08
01-09,1,9,0.0,0.152400082296,0.13210007133399998,0.152400082296,0.12700006858000001,0.231100124794,0.14220007678799998,0.165100089154,0.236200127548,0.12450006723,0.22350012068999997,0.25650013851000003,0.11940006447600002,0.165100089154,0.18290009876600002,0.0,0.12144006557760001,0.129550069957,0.16069342010773333,0.152400082296,0.203200109728,0.2341601264464,0.25650013851000003,2023-01-09
01-10,1,10,0.0,0.152400082296,0.137200074088,0.152400082296,0.12190006582599998,0.26670014401799996,0.14220007678799998,0.165100089154,0.236200127548,0.12450006723,0.22350012068999997,0.259100139914,0.12700006858000001,0.165100089154,0.18290009876600002,0.0,0.12294006638759998,0.132100071334,0.16374675508986666,0.152400082296,0.203200109728,0.24994013496759998,0.26670014401799996,2023-01-10
01-11,1,11,0.0,0.16760009050400002,0.14480007819200003,0.15750008505,0.12190006582599998,0.276900149526,0.147300079542,0.165100089154,0.236200127548,0.12450006723,0.22350012068999997,0.274300148122,0.13460007268399998,0.17270009325799998,0.18290009876600002,0.0,0.12294006638759998,0.139700075438,0.16865342440613332,0.165100089154,0.203200109728,0.25906013989239995,0.276900149526,2023-01-11
01-12,1,12,0.0,0.16760009050400002,0.147300079542,0.16260008780399998,0.12190006582599998,0.292100157734,0.152400082296,0.165100089154,0.248900134406,0.12450006723,0.22350012068999997,0.27940015087599995,0.137200074088,0.18290009876600002,0.18290009876600002,0.0,0.12294006638759998,0.14225007681500001,0.17255342651213332,0.165100089154,0.203200109728,0.267200144288,0.292100157734,2023-01-12
01-13,1,13,0.0,0.16760009050400002,0.1600000864,0.165100089154,0.12190006582599998,0.302300163242,0.152400082296,0.165100089154,0.248900134406,0.12450006723,0.22350012068999997,0.27940015087599995,0.15750008505,0.18290009876600002,0.18290009876600002,0.0,0.12294006638759998,0.154950083673,0.175600094824,0.165100089154,0.203200109728,0.267200144288,0.302300163242,2023-01-13
01-14,1,14,0.0,0.16760009050400002,0.16260008780399998,0.165100089154,0.12190006582599998,0.302300163242,0.152400082296,0.165100089154,0.25650013851000003,0.12450006723,0.22350012068999997,0.27940015087599995,0.165100089154,0.18290009876600002,0.18290009876600002,0.0,0.12294006638759998,0.15750008505,0.17678676213146666,0.165100089154,0.203200109728,0.2702401459296,0.302300163242,2023-01-14
01-15,1,15,0.0,0.16760009050400002,0.16260008780399998,0.165100089154,0.12700006858000001,0.302300163242,0.152400082296,0.165100089154,0.261600141264,0.12450006723,0.22350012068999997,0.27940015087599995,0.18290009876600002,0.18290009876600002,0.18290009876600002,0.0,0.12550006777,0.15750008505,0.17865342980613333,0.16760009050400002,0.203200109728,0.27228014703119996,0.302300163242,2023-01-15
01-16,1,16,0.0,0.16760009050400002,0.1600000864,0.165100089154,0.13460007268399998,0.302300163242,0.152400082296,0.165100089154,0.26420014266799996,0.12450006723,0.22350012068999997,0.27940015087599995,0.18800010152,0.18290009876600002,0.18290009876600002,0.0,0.12854006941159998,0.15620008434799998,0.17950009693,0.16760009050400002,0.20575011110499997,0.27332014759279993,0.302300163242,2023-01-16
01-17,1,17,0.0,0.16760009050400002,0.1600000864,0.17270009325799998,0.14220007678799998,0.302300163242,0.152400082296,0.16760009050400002,0.26420014266799996,0.12950006993,0.22350012068999997,0.28450015363,0.18800010152,0.18290009876600002,0.18290009876600002,0.0,0.1345800726732,0.15620008434799998,0.1813534312641333,0.17270009325799998,0.20575011110499997,0.27638014924519994,0.302300163242,2023-01-17
01-18,1,18,0.0,0.16760009050400002,0.1600000864,0.17270009325799998,0.147300079542,0.302300163242,0.152400082296,0.19050010287,0.26920014536799997,0.12950006993,0.22350012068999997,0.28450015363,0.20070010837799998,0.18540010011600003,0.18290009876600002,0.0,0.1366200737748,0.15620008434799998,0.1845667663326666,0.18290009876600002,0.21210011453399996,0.27838015032519997,0.302300163242,2023-01-18
01-19,1,19,0.0,0.16760009050400002,0.1600000864,0.17270009325799998,0.149900080946,0.302300163242,0.152400082296,0.19300010422,0.271800146772,0.12950006993,0.22350012068999997,0.28450015363,0.20070010837799998,0.18540010011600003,0.18290009876600002,0.0,0.13766007433639998,0.15620008434799998,0.18508009994319996,0.18290009876600002,0.21210011453399996,0.2794201508868,0.302300163242,2023-01-19
01-20,1,20,0.0,0.16760009050400002,0.15750008505,0.17270009325799998,0.149900080946,0.30730016594200005,0.15750008505,0.198100106974,0.271800146772,0.12950006993,0.22350012068999997,0.28450015363,0.20070010837799998,0.18540010011600003,0.18290009876600002,0.0,0.13766007433639998,0.15750008505,0.18592676706706662,0.18290009876600002,0.21210011453399996,0.2794201508868,0.30730016594200005,2023-01-20
01-21,1,21,0.0,0.16760009050400002,0.154900083646,0.17270009325799998,0.16260008780399998,0.30730016594200005,0.17270009325799998,0.198100106974,0.271800146772,0.12950006993,0.22350012068999997,0.28450015363,0.20070010837799998,0.18540010011600003,0.18290009876600002,0.0,0.1396600754164,0.16510008915399998,0.1876134346445333,0.18290009876600002,0.21210011453399996,0.2794201508868,0.30730016594200005,2023-01-21
01-22,1,22,0.0,0.16760009050400002,0.154900083646,0.17270009325799998,0.16260008780399998,0.3150001701,0.17270009325799998,0.22100011934000002,0.274300148122,0.13210007133399998,0.22350012068999997,0.28450015363,0.20070010837799998,0.19050010287,0.18290009876600002,0.0,0.14122007625879998,0.16510008915399998,0.1903334361133333,0.18290009876600002,0.222250120015,0.2804201514268,0.3150001701,2023-01-22
01-23,1,23,0.0,0.16760009050400002,0.154900083646,0.17270009325799998,0.165100089154,0.322600174204,0.17270009325799998,0.226100122094,0.28450015363,0.13210007133399998,0.22350012068999997,0.28450015363,0.20070010837799998,0.19050010287,0.18290009876600002,0.0,0.14122007625879998,0.16635008982900001,0.19202677036106663,0.18290009876600002,0.22480012139199998,0.28450015363,0.322600174204,2023-01-23
01-24,1,24,0.0,0.16760009050400002,0.154900083646,0.17270009325799998,0.16760009050400002,0.34290018516599996,0.17270009325799998,0.231100124794,0.28450015363,0.13210007133399998,0.22350012068999997,0.28450015363,0.20070010837799998,0.19050010287,0.18540010011600003,0.0,0.14122007625879998,0.16760009050400002,0.19404677145186663,0.18540010011600003,0.22730012274199998,0.28450015363,0.34290018516599996,2023-01-24
01-25,1,25,0.0,0.16760009050400002,0.154900083646,0.17270009325799998,0.18290009876600002,0.34290018516599996,0.18030009736199998,0.231100124794,0.292100157734,0.13210007133399998,0.22350012068999997,0.28700015498,0.20070010837799998,0.19300010422,0.18540010011600003,0.0,0.14122007625879998,0.170150091881,0.19641343939653327,0.18540010011600003,0.22730012274199998,0.2900601566324,0.34290018516599996,2023-01-25
01-26,1,26,0.0,0.16760009050400002,0.154900083646,0.17270009325799998,0.18290009876600002,0.34290018516599996,0.18800010152,0.231100124794,0.292100157734,0.13210007133399998,0.228600123444,0.28960015638400005,0.203200109728,0.195600105624,0.18540010011600003,0.0,0.14122007625879998,0.170150091881,0.1977801068012,0.18800010152,0.229850124119,0.291100157194,0.34290018516599996,2023-01-26
01-27,1,27,0.0,0.17270009325799998,0.154900083646,0.17270009325799998,0.18290009876600002,0.34290018516599996,0.18800010152,0.231100124794,0.294600159084,0.13210007133399998,0.228600123444,0.28960015638400005,0.203200109728,0.195600105624,0.18540010011600003,0.0,0.14122007625879998,0.17270009325799998,0.1982867737414666,0.18800010152,0.229850124119,0.292600158004,0.34290018516599996,2023-01-27
01-28,1,28,0.0,0.18030009736199998,0.154900083646,0.17270009325799998,0.18290009876600002,0.34290018516599996,0.18800010152,0.231100124794,0.299700161838,0.13210007133399998,0.228600123444,0.297200160488,0.203200109728,0.195600105624,0.18540010011600003,0.0,0.14122007625879998,0.17650009531,0.19964010780559996,0.18800010152,0.229850124119,0.29870016129800003,0.34290018516599996,2023-01-28
01-29,1,29,0.0,0.18030009736199998,0.154900083646,0.17270009325799998,0.18540010011600003,0.3480001879199999,0.18800010152,0.228600123444,0.304800164592,0.147300079542,0.228600123444,0.299700161838,0.203200109728,0.195600105624,0.18800010152,0.0,0.1503400811836,0.17650009531,0.20167344223693331,0.18800010152,0.228600123444,0.3027601634904,0.3480001879199999,2023-01-29
01-30,1,30,0.0,0.18540010011600003,0.17270009325799998,0.17270009325799998,0.19300010422,0.35310019067400006,0.18800010152,0.228600123444,0.304800164592,0.149900080946,0.228600123444,0.30730016594200005,0.203200109728,0.195600105624,0.18800010152,0.0,0.1590200858708,0.179050096687,0.20472677721906668,0.19300010422,0.228600123444,0.306300165402,0.35310019067400006,2023-01-30
01-31,1,31,0.0,0.20070010837799998,0.17270009325799998,0.177800096012,0.20070010837799998,0.35310019067400006,0.18800010152,0.228600123444,0.309900167346,0.149900080946,0.228600123444,0.30730016594200005,0.203200109728,0.195600105624,0.18800010152,0.0,0.1590200858708,0.182900098766,0.20694011174759996,0.20070010837799998,0.228600123444,0.30886016678440004,0.35310019067400006,2023-01-31
02-01,2,1,0.0,0.20070010837799998,0.17270009325799998,0.177800096012,0.20570011107800001,0.35310019067400006,0.18800010152,0.228600123444,0.309900167346,0.149900080946,0.228600123444,0.30730016594200005,0.203200109728,0.195600105624,0.18800010152,0.0,0.1590200858708,0.182900098766,0.2072734452609333,0.20070010837799998,0.228600123444,0.30886016678440004,0.35310019067400006,2023-02-01
02-02,2,2,0.0,0.20070010837799998,0.17270009325799998,0.177800096012,0.21080011383199998,0.35310019067400006,0.18800010152,0.228600123444,0.309900167346,0.149900080946,0.228600123444,0.30730016594200005,0.203200109728,0.20070010837799998,0.18540010011600003,0.0,0.1590200858708,0.18160009806400002,0.20778011220119996,0.20070010837799998,0.228600123444,0.30886016678440004,0.35310019067400006,2023-02-02
02-03,2,3,0.0,0.20070010837799998,0.17270009325799998,0.177800096012,0.21080011383199998,0.35310019067400006,0.18800010152,0.23370012619799999,0.309900167346,0.154900083646,0.228600123444,0.30730016594200005,0.213400115236,0.203200109728,0.18290009876600002,0.0,0.1620200874908,0.180350097389,0.2091334462653333,0.203200109728,0.231150124821,0.30886016678440004,0.35310019067400006,2023-02-03
02-04,2,4,0.0,0.20070010837799998,0.175300094662,0.18800010152,0.21080011383199998,0.355600192024,0.18800010152,0.25150013581,0.309900167346,0.170200091908,0.228600123444,0.30730016594200005,0.218400117936,0.203200109728,0.18290009876600002,0.0,0.1722400930096,0.185450100143,0.21269344818773334,0.203200109728,0.240050129627,0.30886016678440004,0.355600192024,2023-02-04
02-05,2,5,0.0,0.20070010837799998,0.175300094662,0.20070010837799998,0.22100011934000002,0.355600192024,0.18800010152,0.259100139914,0.309900167346,0.175300094662,0.228600123444,0.30730016594200005,0.218400117936,0.203200109728,0.18290009876600002,0.0,0.175300094662,0.185450100143,0.21506678280266664,0.203200109728,0.243850131679,0.30886016678440004,0.355600192024,2023-02-05
02-06,2,6,0.0,0.20070010837799998,0.175300094662,0.20070010837799998,0.22100011934000002,0.358100193374,0.19300010422,0.26670014401799996,0.3150001701,0.18290009876600002,0.228600123444,0.309900167346,0.23880012895200003,0.20570011107800001,0.18290009876600002,0.0,0.1783400963036,0.187950101493,0.2186201180548,0.20570011107800001,0.252750136485,0.3129601689984,0.358100193374,2023-02-06
02-07,2,7,0.0,0.20070010837799998,0.175300094662,0.20070010837799998,0.22100011934000002,0.358100193374,0.19300010422,0.26670014401799996,0.332700179658,0.18540010011600003,0.228600123444,0.312400168696,0.25150013581,0.20570011107800001,0.18290009876600002,0.0,0.1783400963036,0.189200102168,0.22098011932919998,0.20570011107800001,0.259100139914,0.3245801752732,0.358100193374,2023-02-07
02-08,2,8,0.0,0.20070010837799998,0.18290009876600002,0.20070010837799998,0.22100011934000002,0.36580019753200005,0.19300010422,0.274300148122,0.340400183816,0.18540010011600003,0.228600123444,0.312400168696,0.26420014266799996,0.22100011934000002,0.18290009876600002,0.0,0.18290009876600002,0.189200102168,0.22488678810546667,0.22100011934000002,0.269250145395,0.329200177768,0.36580019753200005,2023-02-08
02-09,2,9,0.0,0.20570011107800001,0.195600105624,0.20070010837799998,0.22100011934000002,0.36580019753200005,0.19300010422,0.274300148122,0.34290018516599996,0.18540010011600003,0.228600123444,0.3150001701,0.26670014401799996,0.22100011934000002,0.18290009876600002,0.0,0.18390009930600001,0.194300104922,0.22657345568293333,0.22100011934000002,0.27050014606999995,0.33174017913959997,0.36580019753200005,2023-02-09
02-10,2,10,0.0,0.208300112482,0.20570011107800001,0.213400115236,0.22100011934000002,0.36580019753200005,0.19300010422,0.274300148122,0.34290018516599996,0.18540010011600003,0.228600123444,0.3150001701,0.26670014401799996,0.22100011934000002,0.18290009876600002,0.0,0.18390009930600001,0.19935010764900002,0.22826678993066665,0.22100011934000002,0.27050014606999995,0.33174017913959997,0.36580019753200005,2023-02-10
02-11,2,11,0.0,0.21080011383199998,0.213400115236,0.218400117936,0.22100011934000002,0.37080020023200005,0.195600105624,0.274300148122,0.34540018651599996,0.18540010011600003,0.228600123444,0.3150001701,0.26670014401799996,0.22100011934000002,0.18540010011600003,0.0,0.18540010011600003,0.20320010972799998,0.2301201242648,0.22100011934000002,0.27050014606999995,0.3332401799496,0.37080020023200005,2023-02-11
02-12,2,12,0.0,0.21080011383199998,0.213400115236,0.218400117936,0.22100011934000002,0.38100020574,0.195600105624,0.274300148122,0.35050018927,0.18800010152,0.228600123444,0.3150001701,0.26670014401799996,0.22350012068999997,0.20070010837799998,0.0,0.1910401031616,0.20575011110499997,0.23250012554999996,0.22100011934000002,0.27050014606999995,0.336300181602,0.38100020574,2023-02-12
02-13,2,13,0.0,0.21080011383199998,0.22350012068999997,0.218400117936,0.22100011934000002,0.38100020574,0.195600105624,0.274300148122,0.35310019067400006,0.19050010287,0.228600123444,0.3150001701,0.26670014401799996,0.22350012068999997,0.20570011107800001,0.0,0.19254010397159999,0.208250112455,0.23384679294386665,0.22350012068999997,0.27050014606999995,0.3378601824444,0.38100020574,2023-02-13
02-14,2,14,0.0,0.21080011383199998,0.23370012619799999,0.218400117936,0.22100011934000002,0.38100020574,0.195600105624,0.27940015087599995,0.35310019067400006,0.203200109728,0.228600123444,0.3150001701,0.26670014401799996,0.228600123444,0.20570011107800001,0.0,0.1986401072656,0.208250112455,0.2360534608021333,0.228600123444,0.27305014744699996,0.3378601824444,0.38100020574,2023-02-14
02-15,2,15,0.0,0.213400115236,0.236200127548,0.218400117936,0.23370012619799999,0.38100020574,0.198100106974,0.292100157734,0.35310019067400006,0.203200109728,0.228600123444,0.3150001701,0.26670014401799996,0.241300130302,0.20570011107800001,0.0,0.2001401080756,0.209550113157,0.23910012911399997,0.23370012619799999,0.279400150876,0.3378601824444,0.38100020574,2023-02-15
02-16,2,16,0.0,0.213400115236,0.236200127548,0.218400117936,0.23370012619799999,0.38100020574,0.20570011107800001,0.302300163242,0.35310019067400006,0.226100122094,0.228600123444,0.3150001701,0.26670014401799996,0.246400133056,0.20570011107800001,0.0,0.20570011107800001,0.215900116586,0.2421534640961333,0.23370012619799999,0.28450015363,0.3378601824444,0.38100020574,2023-02-16
02-17,2,17,0.0,0.213400115236,0.248900134406,0.218400117936,0.23370012619799999,0.38100020574,0.20570011107800001,0.302300163242,0.36580019753200005,0.241300130302,0.23370012619799999,0.3150001701,0.26920014536799997,0.25400013716000003,0.21080011383199998,0.0,0.2077401121796,0.215900116586,0.24621346628853333,0.241300130302,0.28575015430499995,0.3454801865592,0.38100020574,2023-02-17
02-18,2,18,0.0,0.215900116586,0.248900134406,0.218400117936,0.23370012619799999,0.386100208494,0.20570011107800001,0.302300163242,0.36580019753200005,0.24380013165199996,0.23370012619799999,0.3150001701,0.26920014536799997,0.26920014536799997,0.23370012619799999,0.0,0.2097801132812,0.22605012206699998,0.24942680135706663,0.24380013165199996,0.28575015430499995,0.3454801865592,0.386100208494,2023-02-18
02-19,2,19,0.0,0.215900116586,0.248900134406,0.218400117936,0.25150013581,0.386100208494,0.21080011383199998,0.302300163242,0.36580019753200005,0.24380013165199996,0.23370012619799999,0.3150001701,0.274300148122,0.274300148122,0.25150013581,0.0,0.2128401149336,0.22605012206699998,0.25282013652279994,0.25150013581,0.28830015568199996,0.3454801865592,0.386100208494,2023-02-19
02-20,2,20,0.0,0.215900116586,0.261600141264,0.218400117936,0.25150013581,0.393700212598,0.215900116586,0.302300163242,0.36580019753200005,0.25150013581,0.23370012619799999,0.3150001701,0.27940015087599995,0.27940015087599995,0.25150013581,0.0,0.215900116586,0.22605012206699998,0.2557068047482667,0.25150013581,0.29085015705899997,0.3454801865592,0.393700212598,2023-02-20
02-21,2,21,0.0,0.22100011934000002,0.26420014266799996,0.22100011934000002,0.25150013581,0.396200213948,0.218400117936,0.302300163242,0.36580019753200005,0.25400013716000003,0.23370012619799999,0.3150001701,0.28450015363,0.27940015087599995,0.25150013581,0.0,0.2194401184976,0.22735012276900002,0.2572334722393333,0.25400013716000003,0.293400158436,0.3454801865592,0.396200213948,2023-02-21
02-22,2,22,0.0,0.22100011934000002,0.26420014266799996,0.22350012068999997,0.25150013581,0.40890022080599997,0.218400117936,0.302300163242,0.36580019753200005,0.25400013716000003,0.23370012619799999,0.3200001728,0.28450015363,0.27940015087599995,0.25150013581,0.0,0.2194401184976,0.228600123444,0.25858013963320003,0.25400013716000003,0.293400158436,0.3474801876392,0.40890022080599997,2023-02-22
02-23,2,23,0.0,0.22100011934000002,0.26670014401799996,0.226100122094,0.25650013851000003,0.416600224964,0.218400117936,0.302300163242,0.36580019753200005,0.25400013716000003,0.23370012619799999,0.332700179658,0.28450015363,0.27940015087599995,0.25150013581,0.0,0.2194401184976,0.22990012414599997,0.26061347406453333,0.25650013851000003,0.293400158436,0.3525601903824,0.416600224964,2023-02-23
02-24,2,24,0.0,0.22350012068999997,0.26670014401799996,0.226100122094,0.259100139914,0.42160022766399996,0.22100011934000002,0.302300163242,0.36580019753200005,0.25400013716000003,0.23370012619799999,0.335300181062,0.28450015363,0.27940015087599995,0.25150013581,0.0,0.22200011988,0.22990012414599997,0.2616334746153333,0.259100139914,0.293400158436,0.353600190944,0.42160022766399996,2023-02-24
02-25,2,25,0.0,0.226100122094,0.26670014401799996,0.226100122094,0.259100139914,0.42160022766399996,0.22100011934000002,0.302300163242,0.37080020023200005,0.25650013851000003,0.23370012619799999,0.335300181062,0.28450015363,0.27940015087599995,0.25400013716000003,0.0,0.22304012044160001,0.22990012414599997,0.26247347506893326,0.259100139914,0.293400158436,0.356600192564,0.42160022766399996,2023-02-25
02-26,2,26,0.0,0.226100122094,0.26670014401799996,0.231100124794,0.259100139914,0.426700230418,0.22100011934000002,0.302300163242,0.37080020023200005,0.25650013851000003,0.23370012619799999,0.340400183816,0.28700015498,0.27940015087599995,0.26420014266799996,0.0,0.22304012044160001,0.23240012549599998,0.2643334760733333,0.26420014266799996,0.294650159111,0.3586401936656,0.426700230418,2023-02-26
02-27,2,27,0.0,0.226100122094,0.26920014536799997,0.236200127548,0.259100139914,0.426700230418,0.22100011934000002,0.302300163242,0.373400201636,0.26420014266799996,0.23370012619799999,0.340400183816,0.299700161838,0.27940015087599995,0.26420014266799996,0.0,0.22304012044160001,0.234950126873,0.2663734771749333,0.26420014266799996,0.30100016254,0.360200194508,0.426700230418,2023-02-27
