M-D,M,D,2009_SWE_in,2010_SWE_in,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-21,10,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.020300010961999997,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0015500008369999999,0.0,0.0,0.0032800017712000017,0.020300010961999997,2023-10-21
10-22,10,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.010200005508000001,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.000988889422888889,0.0,0.0,0.0032800017712000017,0.010200005508000001,2023-10-22
10-23,10,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0005611114141111111,0.0,0.0,0.0007500004050000018,0.007600004103999999,2023-10-23
10-24,10,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0005666669726666668,0.0,0.0,0.001530000826200004,0.005100002754000001,2023-10-24
10-25,10,25,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0008500004590000001,0.0,0.0,0.005100002754000001,0.005100002754000001,2023-10-25
10-26,10,26,0.0,0.0,0.012700006858,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0015555563955555558,0.0,0.0,0.005100002754000001,0.012700006858,2023-10-26
10-27,10,27,0.0,0.0,0.012700006858,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.001688889800888889,0.0,0.0,0.007600004103999999,0.012700006858,2023-10-27
10-28,10,28,0.0,0.0,0.012700006858,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.001550000837,0.0,0.0,0.004810002597400006,0.012700006858,2023-10-28
10-29,10,29,0.0,0.0,0.012700006858,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.001977778845777778,0.0,0.0,0.007380003985200006,0.012700006858,2023-10-29
10-30,10,30,0.0,0.0,0.010200005508000001,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.010200005508000001,0.005100002754000001,0.0,0.0,0.0,0.002827779304777778,0.0,0.0038250020655000005,0.010200005508000001,0.015200008207999998,2023-10-30
