M-D,M,D,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-20,10,20,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.00158750085725,0.0,0.0006250003375,0.006350003429,0.010200005508000001,2023-10-20
10-21,10,21,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.001268750685125,0.0,0.0006250003375,0.003800002052,0.010200005508000001,2023-10-21
10-22,10,22,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.001268750685125,0.0,0.0,0.003800002052,0.012700006858,2023-10-22
10-23,10,23,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.012700006858,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.002381251285875,0.0,0.0012750006885000002,0.010150005481,0.012700006858,2023-10-23
10-24,10,24,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.017800009611999998,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0028562515423749997,0.0,0.0012750006885000002,0.011400006155999998,0.017800009611999998,2023-10-24
10-25,10,25,0.005100002754000001,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.020300010961999997,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0028562515423749997,0.0,0.003150001701,0.008900004806,0.020300010961999997,2023-10-25
10-26,10,26,0.010200005508000001,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.012700006858,0.020300010961999997,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.004131252230875,0.0,0.008250004455,0.011450006183000001,0.020300010961999997,2023-10-26
10-27,10,27,0.012700006858,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.015200008207999998,0.027900015065999997,0.007600004103999999,0.0,0.010200005508000001,0.0,0.0,0.0,0.005393752912625,0.0,0.010200005508000001,0.013950007532999999,0.027900015065999997,2023-10-27
10-28,10,28,0.012700006858,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015200008207999998,0.027900015065999997,0.012700006858,0.0,0.012700006858,0.0,0.0,0.0,0.00571250308475,0.0,0.012700006858,0.013950007532999999,0.027900015065999997,2023-10-28
10-29,10,29,0.012700006858,0.0,0.005100002754000001,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.010200005508000001,0.027900015065999997,0.015200008207999998,0.0,0.015200008207999998,0.0,0.0,0.0,0.0065062535133750005,0.0025500013770000003,0.012700006858,0.015200008207999998,0.027900015065999997,2023-10-29
10-30,10,30,0.012700006858,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.027900015065999997,0.010200005508000001,0.022900012366000002,0.010200005508000001,0.0,0.0,0.0,0.0063562534323750005,0.0,0.010825005845500002,0.017800009612,0.027900015065999997,2023-10-30
10-31,10,31,0.020300010961999997,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.027900015065999997,0.005100002754000001,0.017800009611999998,0.010200005508000001,0.0,0.0,0.0,0.006193753344625,0.0,0.010825005845500002,0.019050010287,0.027900015065999997,2023-10-31
11-01,11,1,0.027900015065999997,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.027900015065999997,0.00250000135,0.022900012366000002,0.012700006858,0.0,0.0,0.0,0.006818753682124999,0.0,0.012700006858,0.025400013716,0.027900015065999997,2023-11-01
11-02,11,2,0.03050001647,0.007600004103999999,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.027900015065999997,0.0,0.022900012366000002,0.0,0.0,0.0,0.0,0.006350003429,0.0,0.008250004455,0.025400013716,0.03050001647,2023-11-02
11-03,11,3,0.035600019223999996,0.007600004103999999,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.050800027432,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.008093754370625,0.0,0.007600004103999999,0.03050001647,0.050800027432,2023-11-03
11-04,11,4,0.035600019223999996,0.005100002754000001,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050800027432,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.008100004373999999,0.0,0.007000003780000001,0.03050001647,0.050800027432,2023-11-04
