M-D,M,D,1981_SWE_in,1982_SWE_in,1983_SWE_in,1984_SWE_in,1985_SWE_in,1986_SWE_in,1987_SWE_in,1988_SWE_in,1989_SWE_in,1990_SWE_in,1991_SWE_in,1992_SWE_in,1993_SWE_in,1994_SWE_in,1995_SWE_in,1996_SWE_in,1997_SWE_in,1998_SWE_in,1999_SWE_in,2000_SWE_in,2001_SWE_in,2002_SWE_in,2003_SWE_in,2004_SWE_in,2005_SWE_in,2006_SWE_in,2007_SWE_in,2008_SWE_in,2009_SWE_in,2010_SWE_in,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-21,10,21,0.0,0.038100020574,0.0,0.0,0.03300001782,0.007600004103999999,0.022900012366000002,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.03050001647,0.03300001782,0.0,0.017800009611999998,0.0,0.03050001647,0.0,0.007600004103999999,0.0,0.0,0.0,0.015200008207999998,0.0,0.020300010961999997,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.007600004103999999,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.00706739512073913,0.0,0.0120750065205,0.026700014418,0.038100020574,2023-10-21
10-22,10,22,0.0,0.038100020574,0.0,0.0,0.038100020574,0.010200005508000001,0.022900012366000002,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.03050001647,0.03300001782,0.012700006858,0.017800009611999998,0.0,0.03050001647,0.0,0.012700006858,0.0,0.0,0.0,0.027900015065999997,0.0,0.020300010961999997,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077869607266956515,0.0,0.012700006858,0.029200015768,0.038100020574,2023-10-22
10-23,10,23,0.0,0.027900015065999997,0.0,0.0,0.038100020574,0.012700006858,0.027900015065999997,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.03300001782,0.03300001782,0.027900015065999997,0.017800009611999998,0.0,0.03050001647,0.0,0.012700006858,0.0,0.012700006858,0.0,0.035600019223999996,0.0,0.020300010961999997,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.008776091695608695,0.0,0.017150009260999997,0.029200015768,0.038100020574,2023-10-23
10-24,10,24,0.0,0.027900015065999997,0.0,0.0,0.038100020574,0.012700006858,0.025400013716,0.0,0.0,0.0,0.020300010961999997,0.015200008207999998,0.0,0.025400013716,0.03300001782,0.027900015065999997,0.020300010961999997,0.005100002754000001,0.03050001647,0.0,0.012700006858,0.00250000135,0.020300010961999997,0.0,0.038100020574,0.0,0.017800009611999998,0.00250000135,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.009050004887,0.0,0.019675010624499997,0.027900015065999997,0.038100020574,2023-10-24
10-25,10,25,0.0,0.027900015065999997,0.0,0.0,0.038100020574,0.012700006858,0.025400013716,0.0,0.0,0.0,0.020300010961999997,0.015200008207999998,0.0,0.020300010961999997,0.03300001782,0.027900015065999997,0.020300010961999997,0.020300010961999997,0.03050001647,0.0,0.010200005508000001,0.0,0.022900012366000002,0.0,0.040600021923999995,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.017800009611999998,0.00250000135,0.0,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.008995657031565218,0.0,0.019675010624499997,0.027900015065999997,0.040600021923999995,2023-10-25
10-26,10,26,0.0,0.027900015065999997,0.0,0.0,0.038100020574,0.012700006858,0.025400013716,0.0,0.0,0.00250000135,0.017800009611999998,0.015200008207999998,0.0,0.012700006858,0.03300001782,0.027900015065999997,0.03050001647,0.020300010961999997,0.03050001647,0.0,0.010200005508000001,0.0,0.022900012366000002,0.0,0.045700024677999995,0.0,0.020300010961999997,0.0,0.0,0.0,0.012700006858,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.015200008207999998,0.010200005508000001,0.022900012366000002,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.010491310013130434,0.001250000675,0.019675010624499997,0.029200015768,0.045700024677999995,2023-10-26
10-27,10,27,0.0,0.027900015065999997,0.020300010961999997,0.0,0.058400031536,0.012700006858,0.020300010961999997,0.0,0.0,0.015200008207999998,0.015200008207999998,0.017800009611999998,0.0,0.012700006858,0.040600021923999995,0.027900015065999997,0.03300001782,0.020300010961999997,0.03050001647,0.0,0.010200005508000001,0.0,0.022900012366000002,0.0,0.045700024677999995,0.0,0.022900012366000002,0.0,0.0,0.0,0.025400013716,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.010200005508000001,0.025400013716,0.022900012366000002,0.010200005508000001,0.0,0.00250000135,0.0,0.0,0.0,0.012256528357652174,0.008900004806,0.022250012015,0.029200015768,0.058400031536,2023-10-27
10-28,10,28,0.0,0.027900015065999997,0.022900012366000002,0.0,0.058400031536,0.010200005508000001,0.020300010961999997,0.0,0.0,0.020300010961999997,0.012700006858,0.038100020574,0.0,0.012700006858,0.040600021923999995,0.027900015065999997,0.03300001782,0.020300010961999997,0.03050001647,0.0,0.015200008207999998,0.0,0.022900012366000002,0.0,0.053300028782,0.0,0.022900012366000002,0.0,0.0,0.010200005508000001,0.027900015065999997,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.025400013716,0.020300010961999997,0.010200005508000001,0.0,0.00250000135,0.0,0.0,0.0,0.013028267904826085,0.008900004806,0.022900012366000002,0.031750017145,0.058400031536,2023-10-28
10-29,10,29,0.0,0.040600021923999995,0.025400013716,0.0,0.058400031536,0.010200005508000001,0.020300010961999997,0.0,0.0,0.025400013716,0.010200005508000001,0.045700024677999995,0.0,0.012700006858,0.038100020574,0.027900015065999997,0.040600021923999995,0.020300010961999997,0.03050001647,0.005100002754000001,0.012700006858,0.0,0.025400013716,0.0,0.06100003294,0.0,0.020300010961999997,0.0,0.0,0.012700006858,0.025400013716,0.0,0.005100002754000001,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.015200008207999998,0.010200005508000001,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.013967398846739133,0.010200005508000001,0.0241250130275,0.039350021249,0.06100003294,2023-10-29
10-30,10,30,0.0,0.050800027432,0.025400013716,0.0,0.058400031536,0.007600004103999999,0.022900012366000002,0.0,0.0,0.027900015065999997,0.010200005508000001,0.045700024677999995,0.0,0.017800009611999998,0.0,0.027900015065999997,0.043200023328,0.020300010961999997,0.03050001647,0.0,0.012700006858,0.0,0.025400013716,0.0,0.06350003429000001,0.0,0.015200008207999998,0.0,0.0,0.015200008207999998,0.025400013716,0.0,0.00250000135,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.017800009611999998,0.0,0.0,0.010200005508000001,0.010200005508000001,0.027900015065999997,0.0,0.0,0.0,0.0,0.013691311741130438,0.008900004806,0.0247750133785,0.036850019899,0.06350003429000001,2023-10-30
