M-D,M,D,1979_SWE_in,1980_SWE_in,1981_SWE_in,1982_SWE_in,1983_SWE_in,1984_SWE_in,1985_SWE_in,1986_SWE_in,1987_SWE_in,1988_SWE_in,1989_SWE_in,1990_SWE_in,1991_SWE_in,1992_SWE_in,1993_SWE_in,1994_SWE_in,1995_SWE_in,1996_SWE_in,1997_SWE_in,1998_SWE_in,1999_SWE_in,2000_SWE_in,2001_SWE_in,2002_SWE_in,2003_SWE_in,2004_SWE_in,2005_SWE_in,2006_SWE_in,2007_SWE_in,2008_SWE_in,2009_SWE_in,2010_SWE_in,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
02-22,2,22,0.241300130302,0.30730016594200005,0.14480007819200003,0.18540010011600003,0.28700015498,0.17270009325799998,0.18030009736199998,0.236200127548,0.15750008505,0.14220007678799998,0.208300112482,0.22100011934000002,0.154900083646,0.154900083646,0.292100157734,0.18030009736199998,0.26420014266799996,0.104100056214,0.236200127548,0.14480007819200003,0.177800096012,0.13970007543799998,0.149900080946,0.114300061722,0.11940006447600002,0.18540010011600003,0.434300234522,0.111800060372,0.16260008780399998,0.246400133056,0.154900083646,0.18290009876600002,0.261600141264,0.12950006993,0.137200074088,0.101600054864,0.076200041148,0.147300079542,0.24380013165199996,0.12190006582599998,0.246400133056,0.20570011107800001,0.09140004935599999,0.137200074088,0.274300148122,0.18030009736199998,0.14220007678799998,0.12190006582599998,0.076200041148,0.113550061317,0.1390750751005,0.18361259915075,0.167650090531,0.236200127548,0.2672301443042,0.434300234522,2023-02-22
02-23,2,23,0.241300130302,0.30730016594200005,0.14480007819200003,0.18540010011600003,0.28700015498,0.17270009325799998,0.18800010152,0.236200127548,0.15750008505,0.14220007678799998,0.21080011383199998,0.22100011934000002,0.154900083646,0.1600000864,0.294600159084,0.18030009736199998,0.26420014266799996,0.109200058968,0.236200127548,0.152400082296,0.177800096012,0.14220007678799998,0.16260008780399998,0.116800063072,0.11940006447600002,0.18800010152,0.43690023592599997,0.111800060372,0.16260008780399998,0.25150013581,0.154900083646,0.18290009876600002,0.26420014266799996,0.12950006993,0.137200074088,0.101600054864,0.076200041148,0.147300079542,0.259100139914,0.12190006582599998,0.248900134406,0.20570011107800001,0.09140004935599999,0.14220007678799998,0.299700161838,0.18030009736199998,0.14220007678799998,0.12700006858000001,0.076200041148,0.115300062262,0.14220007678799998,0.18599593377108334,0.167650090531,0.236200127548,0.27104014636160007,0.43690023592599997,2023-02-23
02-24,2,24,0.25400013716000003,0.309900167346,0.14480007819200003,0.18800010152,0.28700015498,0.17270009325799998,0.19050010287,0.236200127548,0.170200091908,0.14220007678799998,0.213400115236,0.22350012068999997,0.154900083646,0.1600000864,0.299700161838,0.18030009736199998,0.26420014266799996,0.109200058968,0.23880012895200003,0.16260008780399998,0.177800096012,0.149900080946,0.17270009325799998,0.116800063072,0.11940006447600002,0.19050010287,0.43690023592599997,0.114300061722,0.16760009050400002,0.25400013716000003,0.154900083646,0.18290009876600002,0.26420014266799996,0.12950006993,0.13970007543799998,0.101600054864,0.076200041148,0.149900080946,0.26420014266799996,0.12450006723,0.248900134406,0.20570011107800001,0.09140004935599999,0.147300079542,0.304800164592,0.18030009736199998,0.14220007678799998,0.12700006858000001,0.076200041148,0.11605006266699999,0.14220007678799998,0.1882751016685,0.17270009325799998,0.236850127899,0.27104014636160007,0.43690023592599997,2023-02-24
02-25,2,25,0.25650013851000003,0.31750017145000003,0.14480007819200003,0.18800010152,0.28700015498,0.17270009325799998,0.19050010287,0.236200127548,0.19300010422,0.14480007819200003,0.213400115236,0.22350012068999997,0.15750008505,0.1600000864,0.302300163242,0.18290009876600002,0.26420014266799996,0.111800060372,0.23880012895200003,0.18540010011600003,0.177800096012,0.18540010011600003,0.19050010287,0.11940006447600002,0.11940006447600002,0.19050010287,0.43690023592599997,0.114300061722,0.16760009050400002,0.271800146772,0.154900083646,0.18540010011600003,0.26420014266799996,0.13210007133399998,0.147300079542,0.101600054864,0.076200041148,0.149900080946,0.271800146772,0.12450006723,0.248900134406,0.20570011107800001,0.09650005211,0.149900080946,0.309900167346,0.18030009736199998,0.14220007678799998,0.12700006858000001,0.076200041148,0.11787006364980002,0.14480007819200003,0.19193135364287497,0.18415009944100003,0.236850127899,0.27636014923440005,0.43690023592599997,2023-02-25
02-26,2,26,0.25650013851000003,0.322600174204,0.14480007819200003,0.18800010152,0.28700015498,0.17270009325799998,0.19050010287,0.236200127548,0.19300010422,0.14480007819200003,0.213400115236,0.22350012068999997,0.15750008505,0.1600000864,0.304800164592,0.18290009876600002,0.26420014266799996,0.114300061722,0.23880012895200003,0.18540010011600003,0.177800096012,0.18540010011600003,0.19300010422,0.11940006447600002,0.11940006447600002,0.19050010287,0.43690023592599997,0.114300061722,0.170200091908,0.274300148122,0.154900083646,0.18540010011600003,0.28190015222599996,0.13210007133399998,0.147300079542,0.101600054864,0.078700042498,0.149900080946,0.271800146772,0.12700006858000001,0.248900134406,0.208300112482,0.09650005211,0.152400082296,0.312400168696,0.18290009876600002,0.14220007678799998,0.12450006723,0.078700042498,0.11787006364980002,0.14480007819200003,0.19293343751733336,0.18415009944100003,0.236850127899,0.2834301530522,0.43690023592599997,2023-02-26
02-27,2,27,0.25650013851000003,0.332700179658,0.14480007819200003,0.195600105624,0.28960015638400005,0.17270009325799998,0.19300010422,0.236200127548,0.195600105624,0.14480007819200003,0.22350012068999997,0.22350012068999997,0.15750008505,0.1600000864,0.304800164592,0.18290009876600002,0.26420014266799996,0.13210007133399998,0.23880012895200003,0.18540010011600003,0.177800096012,0.18540010011600003,0.19300010422,0.11940006447600002,0.12450006723,0.213400115236,0.43690023592599997,0.114300061722,0.175300094662,0.274300148122,0.154900083646,0.18540010011600003,0.292100157734,0.13210007133399998,0.147300079542,0.101600054864,0.08380004525200001,0.149900080946,0.271800146772,0.12700006858000001,0.248900134406,0.208300112482,0.09650005211,0.152400082296,0.312400168696,0.18540010011600003,0.14220007678799998,0.12450006723,0.08380004525200001,0.12297006640380001,0.14480007819200003,0.19510427202291666,0.18540010011600003,0.236850127899,0.29035015678900006,0.43690023592599997,2023-02-27
02-28,2,28,0.25650013851000003,0.337800182412,0.147300079542,0.198100106974,0.299700161838,0.17270009325799998,0.19300010422,0.236200127548,0.195600105624,0.14480007819200003,0.22350012068999997,0.22350012068999997,0.15750008505,0.1600000864,0.304800164592,0.18290009876600002,0.26420014266799996,0.13210007133399998,0.261600141264,0.18540010011600003,0.177800096012,0.18800010152,0.19300010422,0.11940006447600002,0.12950006993,0.23880012895200003,0.43690023592599997,0.114300061722,0.18030009736199998,0.274300148122,0.154900083646,0.18800010152,0.292100157734,0.13970007543799998,0.147300079542,0.104100056214,0.08380004525200001,0.149900080946,0.28700015498,0.12700006858000001,0.248900134406,0.208300112482,0.09650005211,0.152400082296,0.32770017695799997,0.18540010011600003,0.14220007678799998,0.12450006723,0.08380004525200001,0.12297006640380001,0.14667507920450001,0.19769177342016667,0.18540010011600003,0.2413251303155,0.29438015896520003,0.43690023592599997,2023-02-28
03-01,3,1,0.25650013851000003,0.337800182412,0.147300079542,0.198100106974,0.304800164592,0.177800096012,0.19300010422,0.236200127548,0.195600105624,0.14480007819200003,0.22350012068999997,0.22350012068999997,0.16260008780399998,0.1600000864,0.304800164592,0.18290009876600002,0.26420014266799996,0.13210007133399998,0.271800146772,0.18540010011600003,0.18030009736199998,0.19300010422,0.19300010422,0.11940006447600002,0.13460007268399998,0.25400013716000003,0.43690023592599997,0.12950006993,0.18290009876600002,0.274300148122,0.154900083646,0.18800010152,0.292100157734,0.14220007678799998,0.154900083646,0.114300061722,0.088900048006,0.149900080946,0.28700015498,0.13210007133399998,0.248900134406,0.208300112482,0.09650005211,0.152400082296,0.332700179658,0.18540010011600003,0.14220007678799998,0.12700006858000001,0.088900048006,0.128750069525,0.14667507920450001,0.19996469131420833,0.18540010011600003,0.2501751350945,0.29591015979140006,0.43690023592599997,2023-03-01
03-02,3,2,0.25650013851000003,0.337800182412,0.147300079542,0.198100106974,0.3150001701,0.177800096012,0.19300010422,0.236200127548,0.195600105624,0.13970007543799998,0.22350012068999997,0.226100122094,0.175300094662,0.1600000864,0.304800164592,0.18290009876600002,0.26920014536799997,0.13210007133399998,0.274300148122,0.18540010011600003,0.18030009736199998,0.195600105624,0.19300010422,0.11940006447600002,0.13970007543799998,0.259100139914,0.43690023592599997,0.12950006993,0.18540010011600003,0.274300148122,0.154900083646,0.18800010152,0.292100157734,0.15750008505,0.154900083646,0.12190006582599998,0.09140004935599999,0.149900080946,0.28700015498,0.13460007268399998,0.248900134406,0.208300112482,0.09650005211,0.152400082296,0.335300181062,0.18540010011600003,0.14220007678799998,0.12950006993,0.09140004935599999,0.12950006993,0.149250080595,0.20155219217145834,0.18540010011600003,0.250800135432,0.29591015979140006,0.43690023592599997,2023-03-02
03-03,3,3,0.25650013851000003,0.358100193374,0.1600000864,0.208300112482,0.322600174204,0.177800096012,0.203200109728,0.236200127548,0.195600105624,0.137200074088,0.22350012068999997,0.226100122094,0.175300094662,0.1600000864,0.304800164592,0.18290009876600002,0.274300148122,0.13460007268399998,0.276900149526,0.18800010152,0.18030009736199998,0.198100106974,0.19300010422,0.11940006447600002,0.13970007543799998,0.261600141264,0.43690023592599997,0.12950006993,0.19050010287,0.276900149526,0.154900083646,0.18800010152,0.292100157734,0.15750008505,0.154900083646,0.12450006723,0.109200058968,0.149900080946,0.28700015498,0.13460007268399998,0.25400013716000003,0.218400117936,0.09650005211,0.152400082296,0.337800182412,0.18800010152,0.14220007678799998,0.12950006993,0.09650005211,0.12950006993,0.15177508195849998,0.20415011024100002,0.18800010152,0.25462513749750004,0.29591015979140006,0.43690023592599997,2023-03-03
