M-D,M,D,1979_SWE_in,1980_SWE_in,1981_SWE_in,1982_SWE_in,1983_SWE_in,1984_SWE_in,1985_SWE_in,1986_SWE_in,1987_SWE_in,1988_SWE_in,1989_SWE_in,1990_SWE_in,1991_SWE_in,1992_SWE_in,1993_SWE_in,1994_SWE_in,1995_SWE_in,1996_SWE_in,1997_SWE_in,1998_SWE_in,1999_SWE_in,2000_SWE_in,2001_SWE_in,2002_SWE_in,2003_SWE_in,2004_SWE_in,2005_SWE_in,2006_SWE_in,2007_SWE_in,2008_SWE_in,2009_SWE_in,2010_SWE_in,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-01,10,1,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.010200005508000001,0.0,0.03300001782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017458342760833332,0.0,0.0,0.004030002176200021,0.03300001782,2023-10-01
10-02,10,2,0.0,0.0,0.0,0.0,0.0,0.027900015065999997,0.017800009611999998,0.0,0.043200023328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0030166682956666666,0.0,0.0,0.012480006739200033,0.043200023328,2023-10-02
10-03,10,3,0.0,0.0,0.0,0.0,0.0,0.03300001782,0.017800009611999998,0.0,0.053300028782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.003702085332458333,0.0,0.0,0.010660005756400042,0.053300028782,2023-10-03
10-04,10,4,0.0,0.0,0.0,0.0,0.0,0.03300001782,0.015200008207999998,0.0,0.053300028782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038100020574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03050001647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.003966668808666667,0.0,0.0,0.01345000726300001,0.053300028782,2023-10-04
10-05,10,5,0.0,0.0,0.0,0.0,0.025400013716,0.050800027432,0.0,0.0,0.053300028782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040600021923999995,0.00250000135,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.027900015065999997,0.0,0.0,0.0,0.0,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.004864585960208333,0.0,0.0,0.020080010843200033,0.053300028782,2023-10-05
10-06,10,6,0.0,0.0,0.0,0.0,0.025400013716,0.027900015065999997,0.0,0.0,0.053300028782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048300026082,0.00250000135,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.027900015065999997,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.017800009611999998,0.0,0.048300026082,0.0,0.0,0.0,0.0,0.005100002754000001,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005660419723291667,0.0,0.0006250003375,0.02615001412100001,0.053300028782,2023-10-06
10-07,10,7,0.0,0.0,0.0,0.010200005508000001,0.025400013716,0.012700006858,0.0,0.0,0.053300028782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048300026082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.017800009611999998,0.0,0.06350003429000001,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005716669753666667,0.0,0.0,0.020080010843200033,0.06350003429000001,2023-10-07
10-08,10,8,0.0,0.0,0.0,0.005100002754000001,0.025400013716,0.010200005508000001,0.0,0.017800009611999998,0.053300028782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048300026082,0.0,0.0,0.020300010961999997,0.0,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.017800009611999998,0.0,0.06600003564,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.00613750331425,0.0,0.00250000135,0.018550010017000008,0.06600003564,2023-10-08
10-09,10,9,0.0,0.0,0.0,0.005100002754000001,0.025400013716,0.010200005508000001,0.0,0.017800009611999998,0.050800027432,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.048300026082,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.007600004103999999,0.010200005508000001,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.015200008207999998,0.0,0.06600003564,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.006193753344625001,0.0,0.005100002754000001,0.017800009611999998,0.06600003564,2023-10-09
10-10,10,10,0.0,0.0,0.0,0.020300010961999997,0.025400013716,0.010200005508000001,0.0,0.017800009611999998,0.050800027432,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.043200023328,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.007600004103999999,0.005100002754000001,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.012700006858,0.0,0.06100003294,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.006143753317625,0.0,0.0057250030915000005,0.018550010017000008,0.06100003294,2023-10-10
