M-D,M,D,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-01,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-01
10-02,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.000156250084375,0.0,0.0,0.0,0.00250000135,2023-10-02
10-03,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.000156250084375,0.0,0.0,0.0,0.00250000135,2023-10-03
10-04,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-04
10-05,10,5,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0012687506851249998,0.0,0.0,0.001250000675,0.017800009611999998,2023-10-05
10-06,10,6,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00158750085725,0.0,0.0,0.0,0.025400013716,2023-10-06
10-07,10,7,0.025400013716,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002700001458,0.0,0.0,0.008900004805999999,0.025400013716,2023-10-07
10-08,10,8,0.025400013716,0.027900015065999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003331251798875,0.0,0.0,0.012700006858,0.027900015065999997,2023-10-08
10-09,10,9,0.027900015065999997,0.038100020574,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0046000024839999995,0.0,0.0006250003375,0.01650000891,0.038100020574,2023-10-09
10-10,10,10,0.03050001647,0.038100020574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.004443752399625,0.0,0.0,0.01650000891,0.038100020574,2023-10-10
10-11,10,11,0.03300001782,0.038100020574,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0058750031725,0.0,0.004425002389500001,0.021600011664,0.038100020574,2023-10-11
10-12,10,12,0.03050001647,0.022900012366000002,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.005100002754000001,0.0,0.0,0.0,0.005406252919375,0.0,0.008250004455,0.016550008937000003,0.03050001647,2023-10-12
10-13,10,13,0.03050001647,0.012700006858,0.007600004103999999,0.010200005508000001,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.005243752831625001,0.0,0.010200005508000001,0.012700006858,0.03050001647,2023-10-13
10-14,10,14,0.027900015065999997,0.012700006858,0.007600004103999999,0.010200005508000001,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.00250000135,0.0,0.0,0.0,0.00476250257175,0.0,0.008250004455,0.011450006183000001,0.027900015065999997,2023-10-14
10-15,10,15,0.027900015065999997,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.002850001539,0.0,0.0,0.008850004778999998,0.027900015065999997,2023-10-15
10-16,10,16,0.025400013716,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.00301250162675,0.0,0.0,0.011400006155999998,0.025400013716,2023-10-16
10-17,10,17,0.022900012366000002,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027900015065999997,0.0,0.0,0.0,0.0041250022275,0.0,0.0,0.019050010287,0.027900015065999997,2023-10-17
10-18,10,18,0.015200008207999998,0.0,0.0,0.017800009611999998,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.027900015065999997,0.0,0.0,0.0,0.004918752656125,0.0,0.008250004455,0.01650000891,0.027900015065999997,2023-10-18
10-19,10,19,0.022900012366000002,0.0,0.0,0.017800009611999998,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.017800009611999998,0.022900012366000002,0.0,0.0,0.0,0.006200003347999999,0.0,0.013975007546499999,0.020350010989,0.022900012366000002,2023-10-19
10-20,10,20,0.025400013716,0.0,0.0,0.017800009611999998,0.0,0.0,0.010200005508000001,0.0,0.0,0.012700006858,0.0,0.010200005508000001,0.0,0.0,0.020300010961999997,0.022900012366000002,0.0,0.0,0.0,0.007468754033125,0.0,0.013975007546499999,0.021600011664,0.025400013716,2023-10-20
10-21,10,21,0.025400013716,0.0,0.0,0.017800009611999998,0.0,0.0,0.010200005508000001,0.0,0.0,0.012700006858,0.0,0.010200005508000001,0.0,0.0,0.035600019223999996,0.015200008207999998,0.0,0.0,0.0,0.007943754289625,0.0,0.0133250071955,0.021600011664,0.035600019223999996,2023-10-21
10-22,10,22,0.025400013716,0.0,0.0,0.012700006858,0.0,0.0,0.00250000135,0.0,0.0,0.017800009611999998,0.0,0.010200005508000001,0.0,0.0,0.027900015065999997,0.012700006858,0.0,0.0,0.0,0.0068250036855,0.0,0.012700006858,0.021600011664,0.027900015065999997,2023-10-22
10-23,10,23,0.025400013716,0.0,0.00250000135,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.017800009611999998,0.0,0.0,0.00250000135,0.0,0.022900012366000002,0.007600004103999999,0.0,0.0,0.0,0.005393752912625,0.0,0.007600004103999999,0.020350010989,0.025400013716,2023-10-23
