M-D,M,D,1980_SWE_in,1981_SWE_in,1982_SWE_in,1983_SWE_in,1984_SWE_in,1985_SWE_in,1986_SWE_in,1987_SWE_in,1988_SWE_in,1989_SWE_in,1990_SWE_in,1991_SWE_in,1992_SWE_in,1993_SWE_in,1994_SWE_in,1995_SWE_in,1996_SWE_in,1997_SWE_in,1998_SWE_in,1999_SWE_in,2000_SWE_in,2001_SWE_in,2002_SWE_in,2003_SWE_in,2004_SWE_in,2005_SWE_in,2006_SWE_in,2007_SWE_in,2008_SWE_in,2009_SWE_in,2010_SWE_in,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-21,10,21,0.0,0.038100020574,0.086400046656,0.048300026082,0.0,0.08380004525200001,0.027900015065999997,0.088900048006,0.0,0.0,0.0,0.03050001647,0.0,0.0,0.038100020574,0.068600037044,0.0,0.015200008207999998,0.0,0.010200005508000001,0.0,0.040600021923999995,0.0,0.007600004103999999,0.0,0.116800063072,0.0,0.040600021923999995,0.012700006858,0.0,0.007600004103999999,0.0,0.045700024677999995,0.0,0.03300001782,0.0,0.0,0.010200005508000001,0.0,0.040600021923999995,0.015200008207999998,0.0,0.050800027432,0.0,0.0,0.040600021923999995,0.035600019223999996,0.0,0.0,0.0,0.021991501237106383,0.007600004103999999,0.039350021249,0.057920031276799976,0.116800063072,2023-10-21
10-22,10,22,0.0,0.038100020574,0.08380004525200001,0.048300026082,0.0,0.08380004525200001,0.027900015065999997,0.088900048006,0.0,0.0,0.0,0.035600019223999996,0.0,0.0,0.038100020574,0.068600037044,0.0,0.015200008207999998,0.0,0.017800009611999998,0.0,0.045700024677999995,0.0,0.017800009611999998,0.0,0.13460007268399998,0.0,0.040600021923999995,0.012700006858,0.0,0.007600004103999999,0.0,0.043200023328,0.0,0.03300001782,0.0,0.0,0.007600004103999999,0.0,0.035600019223999996,0.020300010961999997,0.0,0.050800027432,0.0,0.0,0.040600021923999995,0.035600019223999996,0.0,0.0,0.0,0.02280426763344681,0.007600004103999999,0.038100020574,0.057920031276799976,0.13460007268399998,2023-10-22
10-23,10,23,0.0,0.045700024677999995,0.08380004525200001,0.058400031536,0.0,0.08380004525200001,0.027900015065999997,0.088900048006,0.0,0.0,0.0,0.035600019223999996,0.0,0.0,0.038100020574,0.06600003564,0.012700006858,0.015200008207999998,0.0,0.017800009611999998,0.0,0.048300026082,0.0,0.020300010961999997,0.0,0.137200074088,0.0,0.040600021923999995,0.012700006858,0.0,0.007600004103999999,0.0,0.043200023328,0.017800009611999998,0.03300001782,0.0,0.0,0.00250000135,0.0,0.035600019223999996,0.020300010961999997,0.007600004103999999,0.053300028782,0.017800009611999998,0.0,0.040600021923999995,0.035600019223999996,0.0,0.0,0.0,0.024423417443957443,0.015200008207999998,0.039350021249,0.06144003317759999,0.137200074088,2023-10-23
10-24,10,24,0.0,0.050800027432,0.08380004525200001,0.058400031536,0.0,0.08380004525200001,0.027900015065999997,0.088900048006,0.0,0.0,0.0,0.035600019223999996,0.005100002754000001,0.0,0.038100020574,0.06600003564,0.012700006858,0.015200008207999998,0.00250000135,0.017800009611999998,0.0,0.048300026082,0.005100002754000001,0.020300010961999997,0.0,0.14220007678799998,0.0,0.040600021923999995,0.007600004103999999,0.0,0.005100002754000001,0.005100002754000001,0.043200023328,0.017800009611999998,0.03300001782,0.0,0.0,0.0,0.0,0.03300001782,0.022900012366000002,0.0,0.058400031536,0.020300010961999997,0.0,0.040600021923999995,0.038100020574,0.0,0.0,0.0,0.02485533257080851,0.015200008207999998,0.039350021249,0.06144003317759999,0.14220007678799998,2023-10-24
10-25,10,25,0.0,0.045700024677999995,0.088900048006,0.058400031536,0.0,0.08380004525200001,0.027900015065999997,0.088900048006,0.0,0.0,0.0,0.017800009611999998,0.017800009611999998,0.0,0.038100020574,0.06600003564,0.012700006858,0.020300010961999997,0.007600004103999999,0.017800009611999998,0.0,0.048300026082,0.005100002754000001,0.022900012366000002,0.0,0.147300079542,0.0,0.040600021923999995,0.00250000135,0.0,0.005100002754000001,0.03300001782,0.040600021923999995,0.020300010961999997,0.03300001782,0.0,0.0,0.0,0.0,0.03300001782,0.022900012366000002,0.0,0.06100003294,0.020300010961999997,0.0,0.040600021923999995,0.035600019223999996,0.0,0.0,0.0,0.02561277978834042,0.017800009611999998,0.039350021249,0.06300003401999998,0.147300079542,2023-10-25
10-26,10,26,0.0,0.050800027432,0.088900048006,0.058400031536,0.0,0.08380004525200001,0.027900015065999997,0.088900048006,0.0,0.0,0.007600004103999999,0.010200005508000001,0.020300010961999997,0.0,0.040600021923999995,0.06600003564,0.012700006858,0.027900015065999997,0.012700006858,0.03300001782,0.0,0.048300026082,0.00250000135,0.022900012366000002,0.0,0.165100089154,0.0,0.050800027432,0.0,0.0,0.005100002754000001,0.045700024677999995,0.040600021923999995,0.022900012366000002,0.03300001782,0.0,0.0,0.0,0.0,0.03050001647,0.022900012366000002,0.0,0.07110003839399999,0.020300010961999997,0.0,0.027900015065999997,0.03300001782,0.0,0.0,0.0,0.027070227383872335,0.020300010961999997,0.040600021923999995,0.06804003674159999,0.165100089154,2023-10-26
10-27,10,27,0.0,0.06100003294,0.088900048006,0.07110003839399999,0.0,0.08380004525200001,0.027900015065999997,0.088900048006,0.0,0.0,0.010200005508000001,0.007600004103999999,0.020300010961999997,0.0,0.06600003564,0.06600003564,0.012700006858,0.027900015065999997,0.012700006858,0.038100020574,0.0,0.048300026082,0.0,0.022900012366000002,0.0,0.16760009050400002,0.0,0.050800027432,0.0,0.0,0.005100002754000001,0.048300026082,0.038100020574,0.027900015065999997,0.03300001782,0.0,0.0,0.0,0.0,0.03050001647,0.022900012366000002,0.0,0.073700039798,0.020300010961999997,0.005100002754000001,0.020300010961999997,0.043200023328,0.0,0.0,0.0,0.02853405796157447,0.020300010961999997,0.045750024705,0.07214003895559999,0.16760009050400002,2023-10-27
10-28,10,28,0.0,0.055900030186,0.088900048006,0.088900048006,0.0,0.08380004525200001,0.025400013716,0.088900048006,0.0,0.0,0.015200008207999998,0.005100002754000001,0.040600021923999995,0.0,0.06600003564,0.06600003564,0.012700006858,0.027900015065999997,0.012700006858,0.038100020574,0.0,0.06600003564,0.0,0.038100020574,0.0,0.19300010422,0.0,0.050800027432,0.0,0.0,0.005100002754000001,0.048300026082,0.038100020574,0.027900015065999997,0.03050001647,0.0,0.0,0.0,0.0,0.03050001647,0.050800027432,0.0,0.076200041148,0.020300010961999997,0.007600004103999999,0.020300010961999997,0.043200023328,0.0,0.0,0.0,0.031123421061957444,0.020300010961999997,0.049550026757,0.0792400427896,0.19300010422,2023-10-28
10-29,10,29,0.0,0.055900030186,0.109200058968,0.088900048006,0.0,0.08380004525200001,0.015200008207999998,0.088900048006,0.0,0.0,0.015200008207999998,0.005100002754000001,0.043200023328,0.0,0.073700039798,0.06600003564,0.012700006858,0.035600019223999996,0.017800009611999998,0.038100020574,0.005100002754000001,0.07110003839399999,0.0,0.045700024677999995,0.0,0.20570011107800001,0.012700006858,0.050800027432,0.0,0.0,0.015200008207999998,0.048300026082,0.038100020574,0.027900015065999997,0.045700024677999995,0.0,0.0,0.0,0.0,0.027900015065999997,0.058400031536,0.0,0.076200041148,0.020300010961999997,0.007600004103999999,0.020300010961999997,0.043200023328,0.0,0.0,0.0,0.033393635053829786,0.020300010961999997,0.049550026757,0.0792400427896,0.20570011107800001,2023-10-29
10-30,10,30,0.0,0.053300028782,0.109200058968,0.088900048006,0.0,0.08380004525200001,0.012700006858,0.088900048006,0.0,0.0,0.017800009611999998,0.005100002754000001,0.045700024677999995,0.007600004103999999,0.073700039798,0.06600003564,0.012700006858,0.038100020574,0.017800009611999998,0.053300028782,0.007600004103999999,0.076200041148,0.0,0.053300028782,0.0,0.20570011107800001,0.012700006858,0.050800027432,0.0,0.0,0.020300010961999997,0.050800027432,0.038100020574,0.022900012366000002,0.050800027432,0.0,0.010200005508000001,0.0,0.0,0.022900012366000002,0.06600003564,0.0,0.068600037044,0.020300010961999997,0.005100002754000001,0.035600019223999996,0.048300026082,0.0,0.0,0.0025500013770000003,0.034910657149617025,0.020300010961999997,0.053300028782,0.0792400427896,0.20570011107800001,2023-10-30
10-31,10,31,0.0,0.055900030186,0.109200058968,0.09400005076,0.0,0.08380004525200001,0.012700006858,0.088900048006,0.0,0.0,0.022900012366000002,0.005100002754000001,0.045700024677999995,0.025400013716,0.076200041148,0.06600003564,0.012700006858,0.038100020574,0.017800009611999998,0.058400031536,0.010200005508000001,0.101600054864,0.007600004103999999,0.053300028782,0.00250000135,0.20570011107800001,0.012700006858,0.050800027432,0.005100002754000001,0.0,0.027900015065999997,0.055900030186,0.038100020574,0.022900012366000002,0.050800027432,0.0,0.010200005508000001,0.0,0.0,0.022900012366000002,0.06600003564,0.0,0.068600037044,0.020300010961999997,0.0,0.035600019223999996,0.050800027432,0.0,0.0,0.005100002754000001,0.036857466711531915,0.022900012366000002,0.055900030186,0.0858400463536,0.20570011107800001,2023-10-31
11-01,11,1,0.0,0.055900030186,0.109200058968,0.09910005351399999,0.005100002754000001,0.08380004525200001,0.012700006858,0.088900048006,0.0,0.0,0.027900015065999997,0.005100002754000001,0.048300026082,0.027900015065999997,0.078700042498,0.06600003564,0.017800009611999998,0.043200023328,0.025400013716,0.058400031536,0.010200005508000001,0.116800063072,0.007600004103999999,0.053300028782,0.017800009611999998,0.20570011107800001,0.015200008207999998,0.050800027432,0.007600004103999999,0.0,0.027900015065999997,0.055900030186,0.040600021923999995,0.022900012366000002,0.050800027432,0.0,0.005100002754000001,0.005100002754000001,0.0,0.038100020574,0.06600003564,0.0,0.068600037044,0.020300010961999997,0.0,0.035600019223999996,0.06600003564,0.0,0.0,0.006350003429,0.03917661690004255,0.027900015065999997,0.057150030861,0.0858400463536,0.20570011107800001,2023-11-01
11-02,11,2,0.0,0.06100003294,0.109200058968,0.09910005351399999,0.007600004103999999,0.08380004525200001,0.012700006858,0.088900048006,0.0,0.0,0.035600019223999996,0.007600004103999999,0.053300028782,0.038100020574,0.08130004390199999,0.06600003564,0.017800009611999998,0.043200023328,0.025400013716,0.058400031536,0.010200005508000001,0.11940006447600002,0.007600004103999999,0.053300028782,0.022900012366000002,0.20570011107800001,0.015200008207999998,0.053300028782,0.007600004103999999,0.0,0.027900015065999997,0.055900030186,0.045700024677999995,0.022900012366000002,0.050800027432,0.007600004103999999,0.005100002754000001,0.007600004103999999,0.0,0.043200023328,0.06600003564,0.0,0.068600037044,0.020300010961999997,0.0,0.03300001782,0.043200023328,0.0,0.0,0.007600004103999999,0.040042574814468095,0.03300001782,0.057150030861,0.0858400463536,0.20570011107800001,2023-11-02
11-03,11,3,0.0,0.06100003294,0.109200058968,0.106700057618,0.012700006858,0.08380004525200001,0.012700006858,0.088900048006,0.0,0.0,0.035600019223999996,0.010200005508000001,0.053300028782,0.058400031536,0.08380004525200001,0.078700042498,0.017800009611999998,0.043200023328,0.025400013716,0.058400031536,0.00250000135,0.11940006447600002,0.007600004103999999,0.053300028782,0.027900015065999997,0.20570011107800001,0.015200008207999998,0.053300028782,0.005100002754000001,0.010200005508000001,0.027900015065999997,0.055900030186,0.045700024677999995,0.022900012366000002,0.050800027432,0.012700006858,0.005100002754000001,0.007600004103999999,0.0,0.045700024677999995,0.06600003564,0.0,0.068600037044,0.040600021923999995,0.0,0.038100020574,0.043200023328,0.0,0.0,0.010200005508000001,0.04193193753685107,0.038100020574,0.058400031536,0.0858400463536,0.20570011107800001,2023-11-03
11-04,11,4,0.0,0.06100003294,0.109200058968,0.106700057618,0.027900015065999997,0.08380004525200001,0.010200005508000001,0.088900048006,0.0,0.0,0.035600019223999996,0.015200008207999998,0.053300028782,0.058400031536,0.08380004525200001,0.088900048006,0.022900012366000002,0.043200023328,0.03300001782,0.058400031536,0.0,0.11940006447600002,0.007600004103999999,0.055900030186,0.027900015065999997,0.20570011107800001,0.015200008207999998,0.053300028782,0.0,0.015200008207999998,0.027900015065999997,0.053300028782,0.045700024677999995,0.022900012366000002,0.055900030186,0.012700006858,0.012700006858,0.005100002754000001,0.00250000135,0.045700024677999995,0.06600003564,0.0,0.068600037044,0.040600021923999995,0.0,0.035600019223999996,0.043200023328,0.0,0.0,0.012700006858,0.04295747000553192,0.035600019223999996,0.058400031536,0.088900048006,0.20570011107800001,2023-11-04
