Date,site_no,flow_cms,gage_id
1996-08-06,09292000,2.2370272,09292000
1996-08-07,09292000,2.0671264,09292000
1996-08-08,09292000,1.8972256,09292000
1996-08-09,09292000,1.8122752,09292000
1996-08-10,09292000,1.8122752,09292000
1996-08-11,09292000,1.7556416,09292000
1996-08-12,09292000,1.6706912,09292000
1996-08-13,09292000,1.6423744,09292000
1996-08-14,09292000,1.8122752,09292000
1996-08-15,09292000,2.2370272,09292000
1996-08-16,09292000,2.2370272,09292000
1996-08-17,09292000,2.2087104,09292000
1996-08-18,09292000,2.3502944,09292000
1996-08-19,09292000,2.265344,09292000
1996-08-20,09292000,2.0954432,09292000
1996-08-21,09292000,2.0388096,09292000
1996-08-22,09292000,2.0954432,09292000
1996-08-23,09292000,2.265344,09292000
1996-08-24,09292000,2.1520768,09292000
1996-08-25,09292000,2.2370272,09292000
1996-08-26,09292000,2.6617792,09292000
1996-08-27,09292000,2.8599968,09292000
1996-08-28,09292000,2.8599968,09292000
1996-08-29,09292000,2.5768288,09292000
1996-08-30,09292000,2.4635616,09292000
1996-08-31,09292000,2.3786112,09292000
1996-09-01,09292000,2.2936608,09292000
1996-09-02,09292000,2.2087104,09292000
1996-09-03,09292000,2.1520768,09292000
1996-09-04,09292000,2.0671264,09292000
1996-09-05,09292000,2.0388096,09292000
1996-09-06,09292000,2.0104928,09292000
1996-09-07,09292000,1.8972256,09292000
1996-09-08,09292000,1.7556416,09292000
1996-09-09,09292000,1.6423744,09292000
1996-09-10,09292000,1.557424,09292000
1996-09-11,09292000,1.840592,09292000
1996-09-12,09292000,2.3502944,09292000
1996-09-13,09292000,2.7184128,09292000
1996-09-14,09292000,2.9166304,09292000
1996-09-15,09292000,2.6617792,09292000
1996-09-16,09292000,2.6051456,09292000
1996-09-17,09292000,2.7184128,09292000
1996-09-18,09292000,2.548512,09292000
1996-09-19,09292000,2.3786112,09292000
1996-09-20,09292000,2.265344,09292000
1996-09-21,09292000,2.265344,09292000
1996-09-22,09292000,2.2936608,09292000
1996-09-23,09292000,2.6051456,09292000
1996-09-24,09292000,2.690096,09292000
1996-09-25,09292000,2.406928,09292000
1996-09-26,09292000,1.982176,09292000
1996-09-27,09292000,1.8689088,09292000
1996-09-28,09292000,1.8972256,09292000
1996-09-29,09292000,1.840592,09292000
1996-09-30,09292000,1.7839584,09292000
