Date,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean_C,gage_id
1980-01-01,32913.8,0.0,197.41,5.245000000000001,-2.62,-12.35,236.96,-7.484999999999999,09289500
1980-01-02,32956.22,0.0,258.58,5.245000000000001,-3.1,-16.65,166.22,-9.875,09289500
1980-01-03,33002.11,0.0,326.4,5.245000000000001,-0.15,-21.28,111.72,-10.715,09289500
1980-01-04,33051.44,0.0,237.97,5.245000000000001,1.35,-10.75,269.41,-4.7,09289500
1980-01-05,33104.16,3.78,233.51,5.623,6.42,-13.15,222.03,-3.365,09289500
1980-01-06,33160.24,2.45,186.35,5.868,-2.57,-15.34,185.36,-8.955,09289500
1980-01-07,33219.65,8.92,178.89,6.76,-5.08,-16.95,162.06,-11.015,09289500
1980-01-08,33282.33,5.9,151.41,7.3500000000000005,-3.29,-12.91,226.43,-8.1,09289500
1980-01-09,33348.25,18.01,136.24,9.151000000000002,-1.59,-9.99,286.16,-5.79,09289500
1980-01-10,33417.36,20.81,249.67,11.233,-3.17,-22.23,102.78,-12.7,09289500
1980-01-11,33489.61,11.13,264.63,12.345,-2.88,-24.45,84.3,-13.665,09289500
1980-01-12,33564.96,20.15,168.27,14.36,0.48,-9.57,295.74,-4.545,09289500
1980-01-13,33643.35,23.02,124.08,14.298,2.69,-4.52,436.79,-0.9149999999999998,09289500
1980-01-14,33724.73,13.81,82.19,14.254,-0.39,-4.95,422.75,-2.67,09289500
1980-01-15,33809.06,0.0,341.92,14.254,4.67,-12.81,228.28,-4.07,09289500
1980-01-16,33896.27,1.1,367.27,14.363,1.12,-18.58,141.08,-8.729999999999999,09289500
1980-01-17,33986.31,6.44,241.73,15.007,-1.2,-16.67,165.94,-8.935,09289500
1980-01-18,34079.13,0.0,355.09,15.007,-0.53,-18.06,147.5,-9.295,09289500
1980-01-19,34174.68,0.0,330.87,15.007,-7.21,-22.31,102.03,-14.76,09289500
1980-01-20,34272.88,9.07,258.39,15.914,-0.38,-16.98,161.67,-8.68,09289500
1980-01-21,34373.7,0.0,332.49,15.914,-0.44,-15.26,186.7,-7.85,09289500
1980-01-22,34477.06,0.0,397.91,15.914,-3.03,-23.93,88.33,-13.48,09289500
1980-01-23,34582.92,0.0,404.18,15.914,0.58,-21.02,114.25,-10.22,09289500
