Date,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean_C,gage_id
1980-01-01,32913.8,0.0,79.08,0.0,-5.58,-9.49,297.74,-7.535,09266500
1980-01-02,32956.22,0.0,148.98,0.0,-6.19,-13.94,208.06,-10.065,09266500
1980-01-03,33002.11,0.0,284.56,0.0,-2.2,-24.61,83.04,-13.405,09266500
1980-01-04,33051.44,0.0,240.41,0.0,2.26,-12.37,236.51,-5.055,09266500
1980-01-05,33104.16,0.0,277.56,0.0,3.18,-16.93,162.33,-6.875,09266500
1980-01-06,33160.24,0.0,123.48,0.0,-3.14,-9.37,300.39,-6.255,09266500
1980-01-07,33219.65,0.0,234.3,0.0,-0.97,-14.57,197.64,-7.7700000000000005,09266500
1980-01-08,33282.33,0.0,233.99,0.0,3.02,-10.58,273.01,-3.7800000000000002,09266500
1980-01-09,33348.25,0.0,230.61,0.0,4.85,-8.41,324.06,-1.7800000000000002,09266500
1980-01-10,33417.36,0.0,152.42,0.0,-0.46,-8.17,330.07,-4.315,09266500
1980-01-11,33489.61,12.64,235.26,1.2640000000000002,-2.5,-21.35,111.03,-11.925,09266500
1980-01-12,33564.96,12.8,260.08,2.5440000000000005,4.47,-24.48,84.07,-10.005,09266500
1980-01-13,33643.35,18.39,167.49,2.483,5.91,-4.55,435.92,0.6800000000000002,09266500
1980-01-14,33724.73,9.9,127.31,2.247,7.22,-0.38,593.9,3.42,09266500
1980-01-15,33809.06,0.0,256.83,2.245,6.42,-5.95,391.75,0.23499999999999988,09266500
1980-01-16,33896.27,0.0,287.77,2.245,1.29,-13.07,223.49,-5.890000000000001,09266500
1980-01-17,33986.31,9.72,223.98,3.2170000000000005,1.58,-13.54,215.12,-5.9799999999999995,09266500
1980-01-18,34079.13,10.36,136.29,4.252000000000001,-5.02,-12.57,232.71,-8.795,09266500
1980-01-19,34174.68,0.0,186.63,4.252000000000001,-11.13,-18.75,139.06,-14.940000000000001,09266500
1980-01-20,34272.88,11.69,233.91,5.422000000000001,-5.5,-20.5,119.62,-13.0,09266500
1980-01-21,34373.7,0.0,344.25,5.422000000000001,0.38,-17.87,149.9,-8.745000000000001,09266500
1980-01-22,34477.06,0.0,196.9,5.422000000000001,-7.36,-15.2,187.62,-11.28,09266500
1980-01-23,34582.92,0.0,365.13,5.422000000000001,1.63,-19.21,133.68,-8.790000000000001,09266500
1980-01-24,34691.2,0.0,378.8,5.422000000000001,1.93,-21.56,108.98,-9.815,09266500
1980-01-25,34801.87,5.15,282.49,5.937,1.6,-20.63,118.27,-9.514999999999999,09266500
1980-01-26,34914.85,0.0,351.72,5.937,-3.38,-20.48,119.81,-11.93,09266500
1980-01-27,35030.08,9.15,242.24,6.852,-7.8,-21.89,105.84,-14.845,09266500
1980-01-28,35147.52,8.01,109.4,7.6530000000000005,-11.8,-17.05,160.7,-14.425,09266500
1980-01-29,35267.09,13.28,149.31,8.981,-9.34,-16.57,167.37,-12.955,09266500
1980-01-30,35388.75,0.0,374.75,8.981,-4.6,-21.95,105.34,-13.274999999999999,09266500
1980-01-31,35512.43,0.0,352.94,8.981,-9.18,-24.49,83.95,-16.835,09266500
1980-02-01,35638.08,0.0,388.34,8.981,-2.15,-21.24,112.13,-11.694999999999999,09266500
1980-02-02,35765.64,0.0,371.49,8.981,1.52,-15.35,185.26,-6.915,09266500
1980-02-03,35895.05,0.0,326.92,8.981,2.2,-11.08,262.34,-4.4399999999999995,09266500
1980-02-04,36026.26,0.0,332.39,8.981,3.36,-9.93,287.58,-3.285,09266500
1980-02-05,36159.21,0.0,364.56,8.981,1.06,-14.39,200.54,-6.665,09266500
1980-02-06,36293.85,0.0,338.82,8.981,0.02,-13.43,216.9,-6.705,09266500
1980-02-07,36430.12,0.0,72.65,8.981,-5.62,-7.56,346.06,-6.59,09266500
1980-02-08,36567.97,0.0,440.8,8.981,-8.46,-31.47,43.79,-19.965,09266500
1980-02-09,36707.35,0.0,401.16,8.981,-4.28,-21.73,107.38,-13.005,09266500
1980-02-10,36848.2,0.0,419.79,8.981,-3.07,-22.12,103.73,-12.595,09266500
1980-02-11,36990.48,0.0,417.71,8.981,-1.26,-19.29,132.81,-10.275,09266500
