Date,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean_C,gage_id
1980-01-01,32891.95,0.0,150.63,6.609000000000001,0.26,-5.67,400.2,-2.705,10128500
1980-01-02,32934.47,0.0,243.2,6.609000000000001,-0.95,-11.14,261.14,-6.045,10128500
1980-01-03,32980.46,6.45,232.51,7.254000000000001,0.03,-16.01,175.37,-7.990000000000001,10128500
1980-01-04,33029.9,0.0,205.48,7.227,2.88,-5.36,409.94,-1.2400000000000002,10128500
1980-01-05,33082.75,5.85,213.08,7.813,5.69,-7.45,349.11,-0.8799999999999999,10128500
1980-01-06,33138.96,0.0,264.14,7.813,-1.38,-12.34,237.09,-6.859999999999999,10128500
1980-01-07,33198.5,8.85,168.98,8.697000000000001,-6.26,-15.14,188.57,-10.7,10128500
1980-01-08,33261.33,14.29,150.55,10.126000000000001,-3.95,-11.6,251.65,-7.775,10128500
1980-01-09,33327.4,20.38,137.56,12.165000000000001,-1.35,-8.15,330.72,-4.75,10128500
1980-01-10,33396.67,23.27,238.38,14.491999999999999,-3.1,-16.86,163.22,-9.98,10128500
1980-01-11,33469.09,17.02,269.56,16.194,-2.78,-20.9,115.51,-11.84,10128500
1980-01-12,33544.61,21.68,184.65,18.362000000000002,1.92,-7.06,359.93,-2.57,10128500
1980-01-13,33623.18,25.73,85.05,18.177000000000003,2.23,-1.6,543.12,0.31499999999999995,10128500
1980-01-14,33704.75,30.01,78.23,18.084,-0.36,-3.79,461.54,-2.075,10128500
1980-01-15,33789.27,14.36,232.55,19.52,2.54,-9.36,300.61,-3.4099999999999997,10128500
1980-01-16,33876.68,7.47,252.99,20.268,1.89,-11.57,252.26,-4.84,10128500
1980-01-17,33966.93,9.42,187.81,21.21,-0.02,-8.56,320.1,-4.29,10128500
1980-01-18,34059.96,0.0,256.37,21.21,-1.85,-10.36,277.92,-6.1049999999999995,10128500
1980-01-19,34155.72,0.0,332.28,21.21,-4.59,-16.5,168.31,-10.545,10128500
1980-01-20,34254.15,7.92,291.93,22.001,-0.57,-17.45,155.41,-9.01,10128500
1980-01-21,34355.19,0.0,377.28,22.001,0.58,-14.0,207.13,-6.71,10128500
1980-01-22,34458.78,0.0,420.16,22.001,-0.24,-19.67,128.46,-9.955,10128500
1980-01-23,34564.88,0.0,411.98,22.001,0.93,-16.74,164.92,-7.904999999999999,10128500
1980-01-24,34673.41,0.0,403.02,22.001,2.15,-14.15,204.48,-6.0,10128500
1980-01-25,34784.31,0.0,243.73,22.001,-4.77,-12.21,239.5,-8.49,10128500
1980-01-26,34897.54,0.0,342.74,22.001,-6.22,-17.48,154.96,-11.85,10128500
1980-01-27,35013.04,16.4,264.22,23.641000000000002,-4.88,-16.68,165.82,-10.78,10128500
1980-01-28,35130.73,11.11,234.56,24.752000000000002,-5.71,-15.4,184.43,-10.555,10128500
1980-01-29,35250.57,20.65,260.66,26.817000000000004,-5.44,-16.34,170.51,-10.89,10128500
1980-01-30,35372.49,0.0,472.16,26.817000000000004,-2.37,-24.16,86.49,-13.265,10128500
1980-01-31,35496.45,0.0,472.83,26.817000000000004,-1.5,-22.63,99.21,-12.065,10128500
1980-02-01,35622.37,0.0,464.48,26.817000000000004,3.38,-16.32,170.81,-6.470000000000001,10128500
1980-02-02,35750.21,0.0,438.32,26.817000000000004,3.88,-12.43,235.28,-4.275,10128500
1980-02-03,35879.9,0.0,427.97,26.817000000000004,6.32,-9.32,301.61,-1.5,10128500
1980-02-04,36011.39,0.0,376.14,26.817000000000004,3.52,-8.6,319.25,-2.54,10128500
1980-02-05,36144.63,0.0,480.65,26.817000000000004,5.01,-15.35,185.29,-5.17,10128500
1980-02-06,36279.56,11.17,262.48,27.933,0.59,-10.5,274.8,-4.955,10128500
1980-02-07,36416.13,0.0,216.21,27.933,-3.44,-9.61,294.91,-6.5249999999999995,10128500
1980-02-08,36554.28,0.0,474.89,27.933,-4.48,-22.38,101.35,-13.43,10128500
1980-02-09,36693.96,0.0,508.55,27.933,-0.76,-22.62,99.27,-11.690000000000001,10128500
1980-02-10,36835.11,0.0,520.36,27.933,1.91,-21.98,105.03,-10.035,10128500
1980-02-11,36977.69,0.0,498.51,27.933,3.53,-16.87,163.14,-6.670000000000001,10128500
1980-02-12,37121.65,0.0,502.15,27.933,3.14,-17.88,149.78,-7.369999999999999,10128500
1980-02-13,37266.94,0.0,403.12,27.933,2.46,-11.35,256.76,-4.445,10128500
1980-02-14,37413.5,14.76,185.35,27.893,2.72,-5.03,420.23,-1.155,10128500
1980-02-15,37561.3,9.75,192.22,27.834,3.3,-4.61,433.96,-0.6550000000000002,10128500
1980-02-16,37710.28,7.59,266.21,28.594,4.78,-6.6,372.73,-0.9099999999999997,10128500
1980-02-17,37860.39,11.45,232.98,29.739,3.4,-6.12,386.89,-1.36,10128500
1980-02-18,38011.6,32.88,135.53,29.610000000000003,2.28,-2.92,492.56,-0.32000000000000006,10128500
1980-02-19,38163.86,10.09,195.73,29.563000000000002,2.57,-4.89,424.74,-1.16,10128500
1980-02-20,38317.12,9.44,141.73,29.522000000000006,0.1,-5.01,420.8,-2.455,10128500
1980-02-21,38471.35,21.47,298.64,31.669,0.29,-11.07,262.65,-5.390000000000001,10128500
1980-02-22,38626.49,11.14,217.46,32.783,0.14,-7.43,349.68,-3.645,10128500
