Date,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean_C,gage_id
1980-01-01,32913.8,0.0,189.5,11.622,-6.05,-15.54,182.29,-10.795,09292000
1980-01-02,32956.22,0.0,261.17,11.622,-6.62,-20.68,117.72,-13.65,09292000
1980-01-03,33002.11,0.0,341.21,11.622,-2.32,-26.36,70.83,-14.34,09292000
1980-01-04,33051.44,0.0,270.01,11.622,-0.59,-15.31,185.82,-7.95,09292000
1980-01-05,33104.16,0.0,340.05,11.622,5.83,-17.78,151.03,-5.9750000000000005,09292000
1980-01-06,33160.24,2.98,174.02,11.921,-5.68,-17.51,154.58,-11.595,09292000
1980-01-07,33219.65,7.79,175.41,12.700000000000001,-5.97,-17.77,151.17,-11.87,09292000
1980-01-08,33282.33,6.92,162.75,13.392,-2.44,-13.14,222.19,-7.79,09292000
1980-01-09,33348.25,20.17,110.86,15.408000000000001,-2.87,-9.71,292.43,-6.290000000000001,09292000
1980-01-10,33417.36,25.46,264.7,17.954,-4.95,-26.39,70.65,-15.67,09292000
1980-01-11,33489.61,15.53,279.68,19.507,-2.7,-26.97,66.98,-14.834999999999999,09292000
1980-01-12,33564.96,23.7,215.48,21.877000000000002,0.2,-13.67,212.81,-6.735,09292000
1980-01-13,33643.35,26.37,182.05,24.515,4.4,-6.57,373.79,-1.085,09292000
1980-01-14,33724.73,14.05,99.21,25.919,-1.51,-6.98,362.02,-4.245,09292000
1980-01-15,33809.06,4.7,272.46,26.389,4.7,-14.48,199.1,-4.890000000000001,09292000
1980-01-16,33896.27,0.4,392.6,26.429000000000002,-1.0,-22.96,96.29,-11.98,09292000
1980-01-17,33986.31,6.52,274.93,27.081000000000003,-3.56,-21.97,105.17,-12.764999999999999,09292000
1980-01-18,34079.13,0.0,390.26,27.081000000000003,-2.76,-23.17,94.53,-12.965,09292000
1980-01-19,34174.68,0.0,341.25,27.081000000000003,-10.71,-26.17,72.06,-18.44,09292000
1980-01-20,34272.88,12.79,261.43,28.360000000000003,-0.35,-16.37,170.19,-8.360000000000001,09292000
1980-01-21,34373.7,0.0,307.11,28.360000000000003,-2.45,-15.43,184.02,-8.94,09292000
1980-01-22,34477.06,0.0,404.84,28.360000000000003,-6.23,-26.55,69.56,-16.39,09292000
1980-01-23,34582.92,0.0,436.15,28.360000000000003,0.9,-23.88,88.73,-11.49,09292000
1980-01-24,34691.2,9.55,314.46,29.314,1.57,-20.08,123.97,-9.254999999999999,09292000
1980-01-25,34801.87,0.0,443.68,29.314,-1.61,-25.93,73.67,-13.77,09292000
1980-01-26,34914.85,0.0,308.26,29.314,-10.2,-22.35,101.68,-16.275,09292000
1980-01-27,35030.08,10.87,309.25,30.401,-3.62,-22.88,96.95,-13.25,09292000
1980-01-28,35147.52,14.82,210.62,31.883,-4.77,-15.48,183.29,-10.125,09292000
1980-01-29,35267.09,18.37,207.83,33.72,-4.32,-14.76,194.58,-9.54,09292000
1980-01-30,35388.75,0.0,414.23,33.72,-2.1,-20.26,122.15,-11.180000000000001,09292000
1980-01-31,35512.43,4.44,304.69,34.164,-4.99,-22.65,99.01,-13.82,09292000
1980-02-01,35638.08,0.0,435.51,34.164,1.67,-18.39,143.4,-8.36,09292000
1980-02-02,35765.64,0.0,393.38,34.164,3.22,-12.91,226.32,-4.845,09292000
1980-02-03,35895.05,0.0,352.87,34.164,4.97,-8.66,317.79,-1.8450000000000002,09292000
1980-02-04,36026.26,0.0,402.77,34.164,5.51,-10.67,271.0,-2.58,09292000
1980-02-05,36159.21,0.0,416.52,34.164,4.01,-12.95,225.57,-4.47,09292000
1980-02-06,36293.85,0.0,368.34,34.164,2.14,-11.72,249.25,-4.79,09292000
1980-02-07,36430.12,0.0,236.9,34.164,-5.49,-13.48,216.18,-9.485,09292000
1980-02-08,36567.97,0.0,474.84,34.164,-8.43,-29.33,53.71,-18.88,09292000
1980-02-09,36707.35,0.0,460.43,34.164,-2.2,-21.45,110.09,-11.825,09292000
1980-02-10,36848.2,0.0,475.21,34.164,-0.59,-20.74,117.08,-10.665,09292000
1980-02-11,36990.48,0.0,456.31,34.164,0.89,-17.39,156.18,-8.25,09292000
1980-02-12,37134.14,0.0,473.82,34.164,2.24,-17.45,155.36,-7.6049999999999995,09292000
1980-02-13,37279.12,0.0,443.27,34.164,4.32,-13.24,220.46,-4.46,09292000
1980-02-14,37425.37,12.24,263.48,35.388,4.91,-7.58,345.58,-1.335,09292000
1980-02-15,37572.85,16.5,270.9,37.038000000000004,3.42,-9.12,306.38,-2.8499999999999996,09292000
1980-02-16,37721.52,0.0,495.39,37.038000000000004,6.19,-14.0,207.02,-3.905,09292000
1980-02-17,37871.32,11.17,395.63,38.154,6.08,-17.64,152.82,-5.78,09292000
